Dataset,MajorityClass,Grassland,Wetland,Water,Shrubland,Forest,Bareland,Built-up,Cropland,Lichens_and_Mosses,Non_Wetland,Non_Water
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NWA_M_R,Non_Wetland,1,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NWA_M_R,Shrubland,4,1,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NWA_M_R,Forest,98,129,137,9,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NWA_M_R,Grassland,0,7,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NWA_M_R,Wetland,60,0,123,0,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NWA_M_R,Water,54,141,0,0,27,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NWA_M_R,Cropland,0,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NWA_M_R,Non_Wetland,0,1,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NWA_M_R,Shrubland,0,3,0,0,3,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NWA_M_R,Grassland,0,10,1,3,4,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NWA_M_R,Water,2,215,0,0,84,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NWA_M_R,Wetland,4,0,139,2,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NWA_M_R,Forest,32,202,145,14,0,18,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NWA_M_R,Cropland,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NWA_M_R,Non_Wetland,1,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NWA_M_R,Shrubland,5,0,1,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NWA_M_R,Wetland,126,0,82,0,115,23,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NWA_M_R,Water,129,51,0,0,187,47,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NWA_M_R,Forest,115,2,77,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NWA_M_R,Grassland,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NWA_M_R,Cropland,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NWA_M_R,Grassland,0,1,0,18,12,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NWA_M_R,Forest,18,91,40,103,0,46,11,1,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NWA_M_R,Wetland,0,0,15,59,12,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NWA_M_R,Water,8,156,0,112,111,34,6,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NWA_M_R,Cropland,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NWA_M_R,Grassland,0,1,0,0,0,0,0,0,0,15,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NWA_M_R,Shrubland,0,0,0,0,0,0,0,0,0,4,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NWA_M_R,Wetland,0,0,15,0,0,0,0,0,0,78,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NWA_M_R,Forest,0,91,40,0,0,0,0,0,0,283,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NWA_M_R,Water,0,156,0,0,0,0,0,0,0,192,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NWA_M_R,Cropland,0,0,0,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NWA_M_R,Wetland,0,0,121,0,0,0,0,0,0,0,56
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NWA_M_R,Water,0,0,0,0,0,0,0,0,0,0,104
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NWA_M_R,Forest,0,0,112,0,0,0,0,0,0,0,64
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NWA_M_R,Water,0,151,0,0,33,34,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NWA_M_R,Forest,0,79,169,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NWA_M_R,Wetland,0,0,85,0,14,11,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NWA_M_R,Grassland,0,1,2,0,7,0,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NWA_M_R,Wetland,2,0,52,0,138,1,0,1,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NWA_M_R,Forest,6,1,2,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NWA_M_R,Grassland,0,0,0,0,8,0,0,1,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NWA_M_R,Water,0,93,0,0,269,5,0,0,0,0,0
