Dataset,MajorityClass,Grassland,Forest,Cropland,Wetland,Bareland,Built-up,Water,Shrubland,Non_Wetland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21KWR_M_R,Shrubland,50,41,7,9,2,4,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KWR_M_R,Grassland,0,322,124,95,86,63,53,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KWR_M_R,Non_Wetland,8,7,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KWR_M_R,Forest,721,0,146,114,185,97,136,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KWR_M_R,Cropland,510,403,0,97,130,99,58,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KWR_M_R,Wetland,114,66,2,0,13,0,49,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KWR_M_R,Bareland,89,44,14,9,0,21,14,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KWR_M_R,Water,371,374,18,109,240,19,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KWR_M_R,Built-up,126,142,35,0,36,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KWR_M_R,Lichens_and_Mosses,1,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KWR_M_R,Permanent_ice_and_snow,4,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KWR_M_R,Non_Wetland,2,1,0,14,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KWR_M_R,Shrubland,19,9,0,21,1,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KWR_M_R,Grassland,0,156,0,275,11,16,69,96,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KWR_M_R,Cropland,523,237,0,275,71,36,39,61,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KWR_M_R,Bareland,49,18,0,19,0,0,106,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KWR_M_R,Forest,535,0,0,551,36,32,266,227,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KWR_M_R,Built-up,117,30,0,27,49,0,16,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KWR_M_R,Water,264,115,0,128,11,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KWR_M_R,Wetland,43,2,0,0,0,0,63,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KWR_M_R,Permanent_ice_and_snow,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KWR_M_R,Wetland,0,0,0,0,0,0,10,0,209,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KWR_M_R,Grassland,0,0,0,59,0,0,86,0,543,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KWR_M_R,Cropland,0,0,0,16,0,0,70,0,464,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KWR_M_R,Forest,0,0,0,115,0,0,159,0,995,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KWR_M_R,Shrubland,0,0,0,0,0,0,0,0,45,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KWR_M_R,Water,0,0,0,167,0,0,0,0,168,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KWR_M_R,Bareland,0,0,0,5,0,0,39,0,29,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KWR_M_R,Built-up,0,0,0,0,0,0,14,0,47,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KWR_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KWR_M_R,Grassland,0,94,106,200,153,22,21,65,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KWR_M_R,Non_Wetland,3,2,1,8,3,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KWR_M_R,Forest,762,0,146,473,414,25,119,210,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KWR_M_R,Wetland,114,7,9,0,28,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KWR_M_R,Shrubland,24,8,10,15,15,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KWR_M_R,Water,439,113,3,88,340,1,0,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KWR_M_R,Cropland,448,94,0,137,251,70,28,25,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KWR_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KWR_M_R,Bareland,11,2,3,1,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KWR_M_R,Built-up,104,19,4,22,141,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KWR_M_R,Permanent_ice_and_snow,0,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KWR_M_R,Grassland,0,456,367,59,58,108,86,323,0,7,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KWR_M_R,Wetland,13,99,14,0,7,5,10,39,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KWR_M_R,Forest,264,0,486,115,110,147,159,379,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KWR_M_R,Cropland,125,345,0,16,23,116,70,281,0,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KWR_M_R,Bareland,1,88,101,5,0,66,39,45,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KWR_M_R,Built-up,18,62,116,0,1,0,14,49,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KWR_M_R,Water,45,417,152,167,94,48,0,46,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KWR_M_R,Shrubland,2,3,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KWR_M_R,Permanent_ice_and_snow,0,3,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KWR_M_R,Grassland,0,0,0,0,0,0,126,0,0,0,48,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KWR_M_R,Shrubland,0,0,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KWR_M_R,Cropland,0,0,0,0,0,0,73,0,0,0,18,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KWR_M_R,Wetland,0,0,0,0,0,0,63,0,0,0,44,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KWR_M_R,Bareland,0,0,0,0,0,0,26,0,0,0,20,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KWR_M_R,Built-up,0,0,0,0,0,0,2,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KWR_M_R,Water,0,0,0,0,0,0,0,0,0,0,236,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KWR_M_R,Forest,0,0,0,0,0,0,188,0,0,0,86,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KWR_M_R,Grassland,0,175,718,6,0,147,45,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KWR_M_R,Forest,0,0,646,17,4,264,244,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KWR_M_R,Wetland,0,19,137,0,0,7,21,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KWR_M_R,Shrubland,0,9,7,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KWR_M_R,Bareland,0,17,38,0,0,62,15,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KWR_M_R,Water,0,63,321,12,24,65,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KWR_M_R,Built-up,0,3,22,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KWR_M_R,Cropland,0,84,0,0,1,102,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KWR_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KWR_M_R,Forest,172,0,195,13,17,0,95,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KWR_M_R,Cropland,123,135,0,2,19,0,24,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KWR_M_R,Wetland,46,110,27,0,4,0,36,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KWR_M_R,Water,71,323,117,53,23,0,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KWR_M_R,Shrubland,3,24,5,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KWR_M_R,Bareland,5,17,9,0,0,0,19,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KWR_M_R,Built-up,13,55,76,1,3,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KWR_M_R,Grassland,0,237,173,26,23,0,88,0,0,0,0,0
