Dataset,MajorityClass,Wetland,Grassland,Forest,Water,Bareland,Built-up,Non_Wetland,Shrubland,Cropland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMD_M_R,Non_Wetland,2,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMD_M_R,Grassland,24,0,10,9,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMD_M_R,Bareland,8,3,1,15,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMD_M_R,Built-up,24,39,1,15,39,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMD_M_R,Shrubland,3,2,2,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMD_M_R,Wetland,0,13,6,238,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMD_M_R,Water,322,14,34,0,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMD_M_R,Forest,327,101,0,167,59,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMD_M_R,Cropland,1,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MMD_M_R,Non_Wetland,0,1,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MMD_M_R,Grassland,0,0,13,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MMD_M_R,Wetland,0,177,202,54,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MMD_M_R,Bareland,3,11,10,5,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MMD_M_R,Built-up,0,70,52,8,8,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MMD_M_R,Water,184,193,311,0,16,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MMD_M_R,Forest,19,143,0,14,1,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MMD_M_R,Shrubland,0,6,4,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MMD_M_R,Cropland,0,1,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMD_M_R,Grassland,0,0,0,0,0,0,45,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMD_M_R,Wetland,0,0,0,39,0,0,185,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMD_M_R,Forest,102,0,0,31,0,0,428,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMD_M_R,Water,173,0,0,0,0,0,301,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMD_M_R,Shrubland,0,0,0,0,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMD_M_R,Bareland,7,0,0,0,0,0,12,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMD_M_R,Built-up,11,0,0,0,0,0,25,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMD_M_R,Cropland,0,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMD_M_R,Forest,204,118,0,133,71,100,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMD_M_R,Non_Wetland,1,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMD_M_R,Grassland,21,0,0,10,24,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMD_M_R,Wetland,0,38,10,229,12,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMD_M_R,Water,239,15,9,0,26,36,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMD_M_R,Shrubland,2,0,0,0,5,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMD_M_R,Built-up,1,10,0,0,12,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMD_M_R,Bareland,4,1,0,7,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMD_M_R,Cropland,1,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MMD_M_R,Grassland,0,0,19,0,4,2,0,33,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MMD_M_R,Wetland,0,39,42,39,50,10,0,20,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MMD_M_R,Forest,102,67,0,31,88,25,0,108,15,5,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MMD_M_R,Bareland,7,0,1,0,0,5,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MMD_M_R,Built-up,11,3,17,0,8,0,0,49,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MMD_M_R,Water,173,98,109,0,109,6,0,21,1,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MMD_M_R,Water,0,0,0,0,0,0,0,0,0,0,188,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MMD_M_R,Wetland,0,0,0,119,0,0,0,0,0,0,126,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MMD_M_R,Built-up,0,0,0,0,0,0,0,0,0,0,7,0
