Dataset,MajorityClass,Grassland,Wetland,Bareland,Built-up,Forest,Cropland,Water,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20LPK_M_R,Shrubland,3,3,1,1,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LPK_M_R,Grassland,0,22,2,3,11,5,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LPK_M_R,Cropland,13,2,3,3,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LPK_M_R,Wetland,54,0,0,0,51,0,17,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LPK_M_R,Bareland,17,9,0,2,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LPK_M_R,Built-up,8,0,6,0,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LPK_M_R,Water,28,51,1,0,51,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LPK_M_R,Forest,60,45,14,8,0,4,13,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LPK_M_R,Permanent_ice_and_snow,6,5,1,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LPK_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LPK_M_R,Grassland,0,7,0,0,0,0,2,40,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LPK_M_R,Cropland,0,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LPK_M_R,Bareland,0,0,0,0,0,0,0,10,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LPK_M_R,Forest,0,27,0,0,0,0,10,75,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LPK_M_R,Wetland,0,0,0,0,0,0,13,71,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LPK_M_R,Water,0,22,0,0,0,0,0,22,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LPK_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,5,0,0,0,0
