Dataset,MajorityClass,Grassland,Bareland,Forest,Built-up,Water,Cropland,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22LEH_M_R,Shrubland,224,26,139,43,40,36,78,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEH_M_R,Grassland,0,68,260,59,91,147,127,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEH_M_R,Non_Wetland,10,0,5,0,1,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEH_M_R,Bareland,136,0,77,28,55,31,8,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEH_M_R,Forest,891,114,0,124,381,220,239,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEH_M_R,Cropland,462,101,341,116,70,0,37,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEH_M_R,Wetland,295,16,149,0,98,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEH_M_R,Water,879,206,735,6,0,102,498,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEH_M_R,Non_Water,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEH_M_R,Built-up,170,47,165,0,13,75,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEH_M_R,Non_Wetland,5,0,0,0,4,0,13,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEH_M_R,Shrubland,83,31,16,1,28,0,38,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEH_M_R,Grassland,0,56,123,17,142,0,170,244,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEH_M_R,Cropland,570,130,215,50,89,0,35,271,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEH_M_R,Wetland,129,1,24,0,334,0,0,194,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEH_M_R,Bareland,155,0,37,11,87,0,8,41,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEH_M_R,Water,625,13,304,39,0,0,156,568,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEH_M_R,Forest,699,186,0,35,545,0,352,1010,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEH_M_R,Non_Water,0,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEH_M_R,Built-up,149,95,36,0,30,0,3,119,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEH_M_R,Wetland,0,0,0,0,66,0,0,0,671,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEH_M_R,Shrubland,0,0,0,0,0,0,0,0,150,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEH_M_R,Grassland,0,0,0,0,78,0,73,0,422,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEH_M_R,Water,0,0,0,0,0,0,378,0,454,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEH_M_R,Forest,0,0,0,0,196,0,244,0,879,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEH_M_R,Cropland,0,0,0,0,11,0,13,0,114,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEH_M_R,Bareland,0,0,0,0,11,0,31,0,12,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEH_M_R,Built-up,0,0,0,0,4,0,0,0,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEH_M_R,Grassland,0,246,72,18,47,80,115,195,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEH_M_R,Non_Wetland,4,8,0,0,2,0,9,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEH_M_R,Wetland,166,398,17,1,68,0,0,107,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEH_M_R,Forest,746,938,0,25,202,127,347,832,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEH_M_R,Water,531,1234,247,42,0,8,251,461,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEH_M_R,Non_Water,1,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEH_M_R,Shrubland,96,81,15,6,12,11,31,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEH_M_R,Bareland,64,0,2,2,4,2,1,9,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEH_M_R,Cropland,506,301,100,69,23,0,41,164,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEH_M_R,Built-up,162,175,16,0,2,12,1,69,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LEH_M_R,Water,0,0,0,0,0,0,0,0,0,684,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LEH_M_R,Shrubland,0,0,0,0,35,0,0,0,0,19,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LEH_M_R,Grassland,0,0,0,0,197,0,0,0,0,90,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LEH_M_R,Wetland,0,0,0,0,191,0,0,0,0,141,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LEH_M_R,Forest,0,0,0,0,416,0,0,0,0,380,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LEH_M_R,Bareland,0,0,0,0,44,0,0,0,0,58,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LEH_M_R,Cropland,0,0,0,0,52,0,0,0,0,45,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LEH_M_R,Built-up,0,0,0,0,9,0,0,0,0,5,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEH_M_R,Grassland,0,39,280,161,78,691,73,547,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEH_M_R,Wetland,1,13,174,0,66,119,0,197,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEH_M_R,Bareland,0,0,15,88,11,238,31,102,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEH_M_R,Forest,58,94,0,224,196,1023,244,804,0,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEH_M_R,Water,5,153,440,109,0,828,378,556,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEH_M_R,Cropland,4,5,134,128,11,0,13,256,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEH_M_R,Built-up,0,2,22,0,4,191,0,119,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEH_M_R,Shrubland,0,2,23,12,0,42,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LEH_M_R,Grassland,0,7,197,125,117,513,49,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LEH_M_R,Forest,0,0,0,287,549,492,142,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LEH_M_R,Shrubland,0,0,59,47,39,106,10,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LEH_M_R,Wetland,0,1,65,2,78,131,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LEH_M_R,Bareland,0,0,23,59,77,96,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LEH_M_R,Water,0,10,160,32,0,292,91,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LEH_M_R,Built-up,0,1,4,0,2,34,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LEH_M_R,Cropland,0,4,75,105,18,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LEH_M_R,Forest,161,47,0,0,110,91,33,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LEH_M_R,Shrubland,64,12,207,0,63,23,10,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LEH_M_R,Wetland,108,24,291,0,85,10,0,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LEH_M_R,Cropland,122,118,199,0,67,0,6,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LEH_M_R,Water,110,75,752,0,0,9,169,0,0,0,0,7
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LEH_M_R,Bareland,9,0,61,0,27,8,3,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LEH_M_R,Built-up,24,40,125,0,16,63,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LEH_M_R,Grassland,0,84,238,0,112,82,45,0,0,0,0,5
