Dataset,MajorityClass,Grassland,Forest,Wetland,Built-up,Water,Bareland,Non_Water,Shrubland,Lichens_and_Mosses,Cropland,Non_Wetland
AMAZON_EXTENSION_2024_WorldCover_2021_18MWC_M_R,Shrubland,2,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MWC_M_R,Grassland,0,7,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MWC_M_R,Cropland,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MWC_M_R,Wetland,26,17,0,0,38,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MWC_M_R,Bareland,3,4,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MWC_M_R,Built-up,4,7,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MWC_M_R,Water,66,53,6,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MWC_M_R,Forest,60,0,6,0,30,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWC_M_R,Shrubland,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWC_M_R,Wetland,0,0,0,0,34,0,25,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWC_M_R,Water,0,0,0,0,0,0,85,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWC_M_R,Built-up,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWC_M_R,Grassland,0,0,0,0,7,0,8,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWC_M_R,Forest,0,0,0,0,49,0,38,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWC_M_R,Bareland,0,0,0,0,5,0,4,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWC_M_R,Wetland,0,15,0,5,14,11,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWC_M_R,Water,0,28,15,7,0,24,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWC_M_R,Grassland,0,16,2,6,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWC_M_R,Forest,0,0,18,21,36,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWC_M_R,Bareland,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWC_M_R,Built-up,2,0,0,0,1,0,0,8,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWC_M_R,Water,13,18,42,17,0,20,0,23,5,11,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWC_M_R,Forest,17,0,24,15,11,23,0,41,5,11,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWC_M_R,Grassland,0,5,6,3,3,2,0,11,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWC_M_R,Wetland,0,1,0,0,1,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWC_M_R,Bareland,0,1,6,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWC_M_R,Built-up,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWC_M_R,Water,0,0,42,0,0,0,0,0,0,0,6
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWC_M_R,Forest,0,0,24,0,11,0,0,0,0,0,24
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWC_M_R,Grassland,0,0,6,0,3,0,0,0,0,0,2
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWC_M_R,Wetland,0,0,0,0,1,0,0,0,0,0,3
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWC_M_R,Bareland,0,0,6,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWC_M_R,Wetland,10,29,0,0,7,8,0,0,0,5,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWC_M_R,Water,14,62,10,0,0,23,0,0,0,5,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWC_M_R,Forest,8,0,2,0,10,0,0,0,0,2,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWC_M_R,Grassland,0,8,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWC_M_R,Built-up,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWC_M_R,Bareland,0,1,0,0,0,0,0,0,0,0,0
