Dataset,MajorityClass,Wetland,Grassland,Forest,Water,Built-up,Bareland,Shrubland,Non_Wetland,Non_Water,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHT_M_R,Non_Wetland,7,1,1,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHT_M_R,Bareland,11,5,1,18,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHT_M_R,Water,919,45,82,0,6,19,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHT_M_R,Grassland,307,0,46,165,18,37,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHT_M_R,Wetland,0,47,23,626,2,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHT_M_R,Shrubland,4,1,1,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHT_M_R,Cropland,9,7,4,19,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHT_M_R,Built-up,87,38,9,51,0,62,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHT_M_R,Forest,781,250,0,465,36,111,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHT_M_R,Non_Wetland,0,5,6,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHT_M_R,Grassland,6,0,142,3,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHT_M_R,Wetland,0,816,677,278,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHT_M_R,Bareland,1,22,23,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHT_M_R,Water,335,782,700,0,4,22,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHT_M_R,Shrubland,0,6,4,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHT_M_R,Built-up,0,122,162,27,0,14,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHT_M_R,Cropland,0,22,19,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHT_M_R,Forest,25,395,0,108,5,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHT_M_R,Non_Wetland,4,2,0,3,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHT_M_R,Forest,682,344,0,274,71,180,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHT_M_R,Grassland,263,0,1,96,47,69,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHT_M_R,Wetland,0,170,24,482,4,50,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHT_M_R,Water,884,118,47,0,33,93,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHT_M_R,Shrubland,5,1,0,2,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHT_M_R,Cropland,29,0,0,4,1,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHT_M_R,Bareland,9,4,0,13,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHT_M_R,Built-up,66,42,6,28,0,82,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHT_M_R,Grassland,29,0,0,26,0,0,0,465,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHT_M_R,Wetland,0,0,0,101,0,0,0,1128,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHT_M_R,Forest,172,0,0,85,0,0,0,1148,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHT_M_R,Water,386,0,0,0,0,0,0,979,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHT_M_R,Shrubland,0,0,0,0,0,0,0,9,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHT_M_R,Cropland,0,0,0,0,0,0,0,34,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHT_M_R,Bareland,6,0,0,0,0,0,0,21,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHT_M_R,Built-up,8,0,0,11,0,0,0,139,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHT_M_R,Grassland,0,0,0,90,0,0,0,0,56,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHT_M_R,Water,0,0,0,0,0,0,0,0,529,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHT_M_R,Wetland,0,0,0,702,0,0,0,0,371,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHT_M_R,Bareland,0,0,0,4,0,0,0,0,7,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHT_M_R,Forest,0,0,0,251,0,0,0,0,153,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHT_M_R,Built-up,0,0,0,24,0,0,0,0,12,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHT_M_R,Grassland,29,0,93,26,69,87,83,0,0,30,16,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHT_M_R,Wetland,0,181,203,101,71,274,116,0,0,44,18,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHT_M_R,Forest,172,237,0,85,172,252,187,0,0,67,45,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHT_M_R,Built-up,8,42,40,11,0,24,67,0,0,11,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHT_M_R,Water,386,209,271,0,112,390,208,0,0,10,25,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHT_M_R,Cropland,0,4,4,0,6,4,8,0,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHT_M_R,Bareland,6,2,2,0,3,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHT_M_R,Grassland,79,0,115,32,82,0,0,0,0,77,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHT_M_R,Wetland,0,0,307,244,77,6,0,0,0,38,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHT_M_R,Bareland,1,0,1,0,14,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHT_M_R,Built-up,0,0,0,1,0,0,0,0,0,4,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHT_M_R,Water,415,0,357,0,149,45,0,0,0,21,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHT_M_R,Forest,129,0,0,206,226,0,0,0,0,118,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHT_M_R,Cropland,0,0,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MHT_M_R,Wetland,0,353,584,284,0,15,0,0,0,173,0,4
