Dataset,MajorityClass,Grassland,Cropland,Wetland,Lichens_and_Mosses,Bareland,Built-up,Water,Permanent_ice_and_snow,Forest,Non_Wetland,Non_Water,Shrubland
AMAZON_EXTENSION_2024_WorldCover_2021_19LBE_M_R,Shrubland,3,3,3,1,3,3,2,1,3,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LBE_M_R,Grassland,0,26,21,0,35,19,20,1,24,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LBE_M_R,Cropland,86,0,22,0,41,33,17,1,42,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LBE_M_R,Wetland,85,12,0,0,36,7,54,3,18,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LBE_M_R,Lichens_and_Mosses,1,2,0,0,1,1,0,0,1,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LBE_M_R,Bareland,83,46,14,13,0,44,40,25,26,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LBE_M_R,Built-up,24,19,7,0,16,0,13,0,17,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LBE_M_R,Water,175,49,56,29,146,35,0,46,68,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LBE_M_R,Permanent_ice_and_snow,34,1,0,10,33,4,13,0,4,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LBE_M_R,Forest,82,41,41,0,46,28,20,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LBE_M_R,Shrubland,0,0,0,0,0,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LBE_M_R,Grassland,0,0,5,0,0,0,2,0,0,62,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LBE_M_R,Cropland,0,0,14,0,0,0,2,0,0,32,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LBE_M_R,Bareland,0,0,21,0,0,0,12,0,0,35,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LBE_M_R,Built-up,0,0,2,0,0,0,0,0,0,11,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LBE_M_R,Forest,0,0,15,0,0,0,8,0,0,68,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LBE_M_R,Wetland,0,0,0,0,0,0,5,0,0,118,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LBE_M_R,Water,0,0,71,0,0,0,0,0,0,92,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LBE_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,7,0,0,7,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBE_M_R,Shrubland,0,0,0,0,0,0,6,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBE_M_R,Grassland,0,0,0,0,0,0,44,0,0,0,10,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBE_M_R,Cropland,0,0,0,0,0,0,57,0,0,0,11,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBE_M_R,Wetland,0,0,0,0,0,0,84,0,0,0,28,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBE_M_R,Bareland,0,0,0,0,0,0,87,0,0,0,36,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBE_M_R,Built-up,0,0,0,0,0,0,26,0,0,0,3,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBE_M_R,Water,0,0,0,0,0,0,0,0,0,0,98,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBE_M_R,Forest,0,0,0,0,0,0,62,0,0,0,13,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBE_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,10,0,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LBE_M_R,Water,78,17,71,24,71,58,0,23,57,0,0,181
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LBE_M_R,Cropland,54,0,14,19,32,44,2,0,29,0,0,97
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LBE_M_R,Wetland,17,1,0,2,8,3,5,0,20,0,0,44
