Dataset,MajorityClass,Forest,Built-up,Grassland,Water,Bareland,Wetland,Non_Wetland,Non_Water,Shrubland,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19MEN_M_R,Grassland,41,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MEN_M_R,Non_Wetland,3,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MEN_M_R,Wetland,112,1,200,70,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MEN_M_R,Bareland,12,0,25,8,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MEN_M_R,Shrubland,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MEN_M_R,Cropland,15,0,26,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MEN_M_R,Water,274,2,265,0,20,28,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MEN_M_R,Built-up,63,0,65,10,13,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MEN_M_R,Forest,0,5,273,121,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MEN_M_R,Grassland,0,0,0,4,0,39,110,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MEN_M_R,Wetland,0,0,0,0,0,0,26,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MEN_M_R,Forest,0,0,0,73,0,200,519,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MEN_M_R,Cropland,0,0,0,0,0,2,18,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MEN_M_R,Water,0,0,0,0,0,293,173,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MEN_M_R,Bareland,0,0,0,0,0,13,4,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MEN_M_R,Built-up,0,0,0,9,0,15,19,0,0,0,0,0
