Dataset,MajorityClass,Forest,Grassland,Bareland,Water,Wetland,Cropland,Built-up,Shrubland,Lichens_and_Mosses,Non_Wetland,Non_Water
AMAZON_EXTENSION_2024_WorldCover_2021_19MDP_M_R,Grassland,3,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MDP_M_R,Water,125,26,11,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MDP_M_R,Cropland,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MDP_M_R,Built-up,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MDP_M_R,Forest,0,50,2,137,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MDP_M_R,Wetland,17,16,1,27,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MDP_M_R,Bareland,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDP_M_R,Grassland,2,0,0,8,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDP_M_R,Cropland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDP_M_R,Built-up,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDP_M_R,Forest,0,42,45,151,102,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDP_M_R,Water,24,6,26,0,63,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDP_M_R,Wetland,2,3,9,15,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDP_M_R,Bareland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDP_M_R,Water,61,1,0,0,150,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDP_M_R,Cropland,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDP_M_R,Built-up,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDP_M_R,Forest,0,30,0,139,244,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDP_M_R,Bareland,0,0,0,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDP_M_R,Wetland,1,0,0,7,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MDP_M_R,Grassland,3,0,0,0,0,1,2,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MDP_M_R,Water,52,34,59,0,94,9,11,8,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MDP_M_R,Bareland,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MDP_M_R,Forest,0,52,89,48,97,36,19,18,13,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDP_M_R,Water,0,0,0,0,94,0,0,0,0,87,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDP_M_R,Bareland,0,0,0,0,1,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDP_M_R,Forest,0,0,0,48,97,0,0,0,0,252,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MDP_M_R,Grassland,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MDP_M_R,Water,75,0,4,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MDP_M_R,Wetland,35,0,1,27,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MDP_M_R,Bareland,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MDP_M_R,Forest,0,0,0,158,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MDP_M_R,Wetland,0,0,0,20,0,0,0,0,0,0,15
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MDP_M_R,Bareland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MDP_M_R,Water,0,0,0,0,0,0,0,0,0,0,100
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MDP_M_R,Forest,0,0,0,131,0,0,0,0,0,0,87
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MDP_M_R,Water,274,0,17,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MDP_M_R,Wetland,58,0,2,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MDP_M_R,Forest,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MDP_M_R,Grassland,2,0,0,0,0,0,0,0,0,0,0
