Dataset,MajorityClass,Grassland,Cropland,Forest,Wetland,Bareland,Built-up,Water,Non_Wetland,Shrubland,Non_Water,Lichens_and_Mosses
AMAZON_EXTENSION_2024_WorldCover_2021_23MPP_M_R,Shrubland,234,68,156,40,59,71,18,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MPP_M_R,Grassland,0,189,286,84,49,57,14,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MPP_M_R,Bareland,124,56,96,2,0,32,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MPP_M_R,Built-up,261,107,195,2,51,0,5,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MPP_M_R,Forest,817,253,0,236,81,123,72,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MPP_M_R,Non_Wetland,4,0,4,8,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MPP_M_R,Cropland,522,0,425,19,114,149,8,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MPP_M_R,Wetland,134,7,125,0,8,0,26,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MPP_M_R,Water,291,17,268,168,57,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MPP_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MPP_M_R,Shrubland,0,0,0,0,0,0,0,90,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MPP_M_R,Wetland,0,0,0,0,0,0,3,97,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MPP_M_R,Grassland,0,0,0,60,0,0,7,174,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MPP_M_R,Forest,0,0,0,278,0,0,53,539,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MPP_M_R,Water,0,0,0,257,0,0,0,126,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MPP_M_R,Cropland,0,0,0,10,0,0,1,42,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MPP_M_R,Bareland,0,0,0,0,0,0,1,2,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MPP_M_R,Built-up,0,0,0,8,0,0,1,9,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MPP_M_R,Shrubland,73,0,77,10,42,28,15,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MPP_M_R,Non_Wetland,2,0,4,3,0,0,2,0,6,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MPP_M_R,Grassland,0,0,324,24,96,45,31,0,306,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MPP_M_R,Cropland,506,0,497,5,340,92,5,0,475,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MPP_M_R,Wetland,56,0,145,0,2,0,139,0,179,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MPP_M_R,Bareland,65,0,79,0,0,14,11,0,54,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MPP_M_R,Built-up,127,0,129,1,120,0,11,0,179,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MPP_M_R,Water,97,0,287,10,8,28,0,0,143,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MPP_M_R,Forest,475,0,0,74,251,163,168,0,796,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPP_M_R,Grassland,0,99,178,40,260,20,30,0,334,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPP_M_R,Non_Wetland,2,0,1,8,0,0,2,0,6,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPP_M_R,Wetland,39,0,132,0,26,0,57,0,161,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPP_M_R,Bareland,37,12,5,0,0,4,1,0,56,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPP_M_R,Built-up,177,7,48,2,269,0,3,0,184,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPP_M_R,Forest,577,82,0,217,602,123,163,0,883,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPP_M_R,Shrubland,65,12,31,21,69,22,14,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPP_M_R,Water,72,1,196,54,64,4,0,0,171,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPP_M_R,Cropland,430,0,216,20,514,71,4,0,403,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPP_M_R,Lichens_and_Mosses,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MPP_M_R,Shrubland,0,0,0,0,0,0,22,0,0,9,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MPP_M_R,Wetland,0,0,0,0,0,0,75,0,0,70,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MPP_M_R,Forest,0,0,0,0,0,0,132,0,0,132,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MPP_M_R,Grassland,0,0,0,0,0,0,33,0,0,10,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MPP_M_R,Cropland,0,0,0,0,0,0,31,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MPP_M_R,Bareland,0,0,0,0,0,0,2,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MPP_M_R,Water,0,0,0,0,0,0,0,0,0,170,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MPP_M_R,Built-up,0,0,0,0,0,0,2,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MPP_M_R,Grassland,0,212,339,60,29,81,7,0,324,0,6
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MPP_M_R,Forest,417,379,0,278,81,203,53,0,636,0,17
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MPP_M_R,Bareland,29,80,111,0,0,56,1,0,137,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MPP_M_R,Cropland,228,0,412,10,11,142,1,0,463,0,3
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MPP_M_R,Wetland,12,5,41,0,0,0,3,0,13,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MPP_M_R,Built-up,72,130,131,8,4,0,1,0,194,0,1
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MPP_M_R,Water,35,43,228,257,33,7,0,0,168,0,0
