Dataset,MajorityClass,Grassland,Cropland,Forest,Wetland,Built-up,Water,Bareland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22KBE_M_R,Shrubland,163,25,89,29,20,15,12,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KBE_M_R,Grassland,0,111,165,45,55,33,45,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KBE_M_R,Non_Wetland,10,3,5,4,1,3,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KBE_M_R,Bareland,91,12,27,10,25,20,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KBE_M_R,Water,438,13,298,248,9,0,116,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KBE_M_R,Forest,779,212,0,141,150,222,113,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KBE_M_R,Cropland,573,0,369,32,169,66,168,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KBE_M_R,Wetland,118,8,92,0,3,113,16,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KBE_M_R,Built-up,158,61,157,0,0,16,51,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBE_M_R,Non_Wetland,3,0,3,17,0,5,3,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBE_M_R,Shrubland,69,0,28,53,4,14,25,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBE_M_R,Grassland,0,0,93,197,43,44,33,127,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBE_M_R,Cropland,583,0,231,225,187,70,188,311,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBE_M_R,Wetland,38,0,30,0,1,171,12,15,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBE_M_R,Bareland,53,0,10,11,18,68,0,22,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBE_M_R,Water,291,0,119,371,47,0,65,79,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBE_M_R,Forest,620,0,0,667,124,394,223,562,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBE_M_R,Built-up,121,0,24,44,0,21,80,52,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KBE_M_R,Wetland,0,0,0,0,0,17,0,0,513,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KBE_M_R,Grassland,0,0,0,15,0,29,0,0,388,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KBE_M_R,Water,0,0,0,209,0,0,0,0,681,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KBE_M_R,Forest,0,0,0,103,0,87,0,0,1448,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KBE_M_R,Bareland,0,0,0,2,0,5,0,0,33,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KBE_M_R,Shrubland,0,0,0,0,0,0,0,0,132,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KBE_M_R,Cropland,0,0,0,10,0,18,0,0,416,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KBE_M_R,Built-up,0,0,0,1,0,3,0,0,93,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBE_M_R,Grassland,0,43,53,181,26,32,113,111,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBE_M_R,Non_Wetland,5,0,0,17,0,4,5,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBE_M_R,Wetland,53,0,7,0,0,88,12,11,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBE_M_R,Forest,505,103,0,886,26,403,448,456,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBE_M_R,Water,123,5,72,659,33,0,185,47,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBE_M_R,Shrubland,57,5,16,58,2,16,48,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBE_M_R,Bareland,40,4,6,13,1,20,0,10,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBE_M_R,Cropland,540,0,118,190,96,39,425,194,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBE_M_R,Built-up,172,6,15,55,0,2,198,36,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KBE_M_R,Grassland,0,0,0,0,0,34,0,0,0,43,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KBE_M_R,Wetland,0,0,0,0,0,95,0,0,0,92,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KBE_M_R,Shrubland,0,0,0,0,0,7,0,0,0,5,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KBE_M_R,Bareland,0,0,0,0,0,5,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KBE_M_R,Cropland,0,0,0,0,0,19,0,0,0,15,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KBE_M_R,Water,0,0,0,0,0,0,0,0,0,343,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KBE_M_R,Built-up,0,0,0,0,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KBE_M_R,Forest,0,0,0,0,0,152,0,0,0,120,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KBE_M_R,Grassland,0,419,241,15,124,29,12,497,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KBE_M_R,Wetland,0,40,147,0,11,17,19,148,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KBE_M_R,Bareland,0,155,23,2,67,5,0,105,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KBE_M_R,Forest,2,772,0,103,277,87,61,871,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KBE_M_R,Cropland,0,0,211,10,207,18,1,455,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KBE_M_R,Water,3,287,324,209,56,0,67,395,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KBE_M_R,Built-up,0,146,33,1,0,3,0,138,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KBE_M_R,Shrubland,0,13,11,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KBE_M_R,Grassland,0,554,154,1,121,37,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KBE_M_R,Water,0,300,127,48,20,0,11,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KBE_M_R,Forest,0,738,0,71,346,331,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KBE_M_R,Shrubland,0,110,42,0,34,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KBE_M_R,Wetland,0,157,60,0,13,92,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KBE_M_R,Bareland,0,167,7,0,45,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KBE_M_R,Built-up,0,101,5,1,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KBE_M_R,Cropland,0,0,110,0,120,9,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KBE_M_R,Forest,112,154,0,8,0,44,73,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KBE_M_R,Shrubland,48,36,119,0,0,6,20,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KBE_M_R,Wetland,68,9,284,0,0,121,23,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KBE_M_R,Cropland,156,0,282,0,0,43,105,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KBE_M_R,Water,20,41,529,54,0,0,46,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KBE_M_R,Built-up,30,115,112,0,0,12,24,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KBE_M_R,Bareland,5,17,50,0,0,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KBE_M_R,Grassland,0,98,162,5,0,53,66,0,0,0,0,0
