Dataset,MajorityClass,Grassland,Wetland,Bareland,Built-up,Water,Cropland,Non_Wetland,Non_Water,Shrubland,Forest,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19KET_M_R,Shrubland,1,1,2,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KET_M_R,Grassland,0,4,10,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KET_M_R,Cropland,27,0,12,1,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KET_M_R,Wetland,34,0,20,0,11,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KET_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KET_M_R,Bareland,59,11,0,10,33,14,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KET_M_R,Built-up,6,0,3,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KET_M_R,Forest,26,9,16,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KET_M_R,Water,33,3,51,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KET_M_R,Permanent_ice_and_snow,4,0,18,0,14,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KET_M_R,Shrubland,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KET_M_R,Bareland,0,29,0,0,14,0,22,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KET_M_R,Wetland,0,0,0,0,0,0,27,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KET_M_R,Built-up,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KET_M_R,Grassland,0,1,0,0,0,0,19,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KET_M_R,Cropland,0,0,0,0,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KET_M_R,Water,0,33,0,0,0,0,9,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KET_M_R,Permanent_ice_and_snow,0,7,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KET_M_R,Forest,0,0,0,0,0,0,19,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KET_M_R,Shrubland,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KET_M_R,Bareland,0,0,0,0,50,0,0,28,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KET_M_R,Grassland,0,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KET_M_R,Wetland,0,0,0,0,12,0,0,8,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KET_M_R,Water,0,0,0,0,0,0,0,30,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KET_M_R,Permanent_ice_and_snow,0,0,0,0,5,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KET_M_R,Forest,0,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KET_M_R,Wetland,0,0,4,0,0,6,0,0,8,3,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KET_M_R,Bareland,10,29,0,28,14,8,0,0,46,12,17,1
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KET_M_R,Built-up,0,1,3,0,0,1,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KET_M_R,Forest,3,0,6,4,0,9,0,0,12,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KET_M_R,Grassland,0,1,3,2,0,7,0,0,8,5,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KET_M_R,Cropland,4,0,9,6,0,0,0,0,8,3,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KET_M_R,Water,1,33,18,6,0,0,0,0,32,3,6,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KET_M_R,Permanent_ice_and_snow,1,7,4,2,1,1,0,0,14,0,2,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KET_M_R,Bareland,0,11,0,11,19,8,0,0,0,3,0,9
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KET_M_R,Grassland,0,15,4,1,1,0,0,0,0,4,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KET_M_R,Built-up,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KET_M_R,Wetland,0,0,15,1,10,0,0,0,0,1,0,5
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KET_M_R,Cropland,0,5,4,0,0,0,0,0,0,4,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KET_M_R,Water,0,4,37,3,0,0,0,0,0,0,0,9
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KET_M_R,Permanent_ice_and_snow,0,0,7,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KET_M_R,Forest,0,11,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KET_M_R,Bareland,1,1,0,0,23,14,0,0,0,2,0,30
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KET_M_R,Wetland,1,0,21,0,10,4,0,0,0,9,0,19
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KET_M_R,Grassland,0,0,4,0,2,3,0,0,0,3,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KET_M_R,Forest,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KET_M_R,Water,0,3,27,0,0,0,0,0,0,1,0,25
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KET_M_R,Built-up,0,0,2,0,0,0,0,0,0,0,0,0
