Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22NBJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NBJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NBJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NBJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NBJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NBJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NBJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22NBJ_M_R
0,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
2,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
3,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
4,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
5,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
6,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
7,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
8,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
9,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
10,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
11,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
12,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
13,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
14,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
15,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
16,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
17,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
18,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
19,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
20,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
21,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
22,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
23,NULL,Water,Water,NULL,Water,NULL,NULL,Water
24,NULL,Water,Water,NULL,Water,NULL,NULL,Forest
25,NULL,Water,Water,Water,Water,NULL,NULL,Water
26,NULL,Water,Water,Water,Water,NULL,NULL,Forest
27,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
28,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
29,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
