Dataset,MajorityClass,Forest,Wetland,Bareland,Built-up,Cropland,Water,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22MFC_M_R,Grassland,231,48,46,52,6,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MFC_M_R,Non_Wetland,8,2,3,3,0,0,11,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MFC_M_R,Cropland,87,0,4,13,0,0,72,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MFC_M_R,Wetland,347,0,101,63,0,111,521,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MFC_M_R,Bareland,85,17,0,28,0,9,219,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MFC_M_R,Built-up,142,5,52,0,0,19,180,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MFC_M_R,Forest,0,154,27,108,0,69,587,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MFC_M_R,Non_Water,0,0,1,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MFC_M_R,Water,491,328,94,37,0,0,279,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MFC_M_R,Shrubland,15,6,5,8,0,0,38,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MFC_M_R,Lichens_and_Mosses,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MFC_M_R,Permanent_ice_and_snow,8,0,6,0,0,0,13,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MFC_M_R,Non_Wetland,2,12,1,0,0,4,5,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MFC_M_R,Grassland,98,256,86,24,0,71,0,33,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MFC_M_R,Cropland,18,78,7,0,0,3,63,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MFC_M_R,Wetland,103,0,65,14,0,401,225,19,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MFC_M_R,Bareland,36,139,0,13,0,135,166,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MFC_M_R,Built-up,35,82,103,0,0,63,83,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MFC_M_R,Forest,0,771,210,65,0,383,486,60,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MFC_M_R,Non_Water,0,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MFC_M_R,Water,121,465,50,21,0,0,119,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MFC_M_R,Shrubland,7,16,5,3,0,5,14,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MFC_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MFC_M_R,Permanent_ice_and_snow,1,16,1,0,0,3,6,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MFC_M_R,Grassland,0,58,0,0,0,2,0,0,492,0,0,0
