Dataset,MajorityClass,Grassland,Forest,Wetland,Bareland,Built-up,Water,Cropland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_24KTF_M_R,Shrubland,84,61,3,12,16,3,8,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KTF_M_R,Grassland,0,342,8,42,64,33,71,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KTF_M_R,Non_Wetland,4,6,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KTF_M_R,Bareland,112,56,0,0,20,1,6,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KTF_M_R,Built-up,163,157,0,64,0,13,23,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KTF_M_R,Water,564,584,57,165,21,0,12,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KTF_M_R,Forest,777,0,51,76,136,122,78,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KTF_M_R,Wetland,84,61,0,5,4,4,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KTF_M_R,Non_Water,2,2,0,1,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KTF_M_R,Cropland,182,154,0,25,35,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KTF_M_R,Permanent_ice_and_snow,3,2,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KTF_M_R,Non_Wetland,1,1,5,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KTF_M_R,Shrubland,36,13,5,17,4,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KTF_M_R,Grassland,0,119,83,62,33,105,0,68,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KTF_M_R,Bareland,67,9,0,0,20,28,0,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KTF_M_R,Built-up,126,33,3,74,0,35,0,8,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KTF_M_R,Water,389,146,26,12,13,0,0,23,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KTF_M_R,Forest,596,0,172,128,56,349,0,213,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KTF_M_R,Non_Water,2,0,0,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KTF_M_R,Wetland,39,5,0,2,2,41,0,0,0,0,0,0
