Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Water,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23LMJ_M_R,Shrubland,244,84,93,68,118,44,92,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LMJ_M_R,Non_Wetland,5,2,0,0,2,3,6,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LMJ_M_R,Grassland,0,93,40,13,121,19,37,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LMJ_M_R,Bareland,175,61,0,68,46,22,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LMJ_M_R,Built-up,161,81,69,0,90,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LMJ_M_R,Forest,361,81,56,46,0,54,91,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LMJ_M_R,Cropland,399,0,189,143,219,11,19,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LMJ_M_R,Wetland,40,6,5,0,35,51,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LMJ_M_R,Water,193,39,95,5,113,0,94,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LMJ_M_R,Non_Water,0,1,0,0,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LMJ_M_R,Permanent_ice_and_snow,1,0,1,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LMJ_M_R,Non_Wetland,3,0,0,0,2,2,6,8,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LMJ_M_R,Shrubland,81,0,46,33,16,46,31,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LMJ_M_R,Grassland,0,0,29,14,10,26,20,208,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LMJ_M_R,Cropland,412,0,229,160,15,25,5,465,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LMJ_M_R,Wetland,16,0,2,0,13,93,0,80,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LMJ_M_R,Bareland,76,0,0,95,6,31,2,135,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LMJ_M_R,Water,75,0,34,18,23,0,59,268,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LMJ_M_R,Forest,290,0,136,57,0,116,175,642,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LMJ_M_R,Non_Water,1,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LMJ_M_R,Built-up,91,0,98,0,0,6,0,137,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LMJ_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LMJ_M_R,Non_Wetland,1,0,1,0,0,1,11,8,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LMJ_M_R,Grassland,0,56,100,4,2,27,53,240,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LMJ_M_R,Wetland,2,0,14,0,3,15,0,62,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LMJ_M_R,Bareland,20,85,0,8,0,5,2,65,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LMJ_M_R,Water,12,14,180,2,4,0,180,182,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LMJ_M_R,Forest,156,34,277,2,0,82,224,614,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LMJ_M_R,Built-up,48,38,153,0,2,2,0,153,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LMJ_M_R,Non_Water,1,0,1,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LMJ_M_R,Shrubland,56,13,86,2,9,15,32,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LMJ_M_R,Cropland,216,0,308,43,6,10,12,353,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LMJ_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LMJ_M_R,Shrubland,0,0,0,0,0,0,0,0,155,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LMJ_M_R,Wetland,0,0,0,0,0,18,0,0,222,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LMJ_M_R,Grassland,0,0,0,0,0,5,9,0,103,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LMJ_M_R,Water,0,0,0,0,0,0,65,0,160,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LMJ_M_R,Forest,0,0,0,0,0,40,31,0,402,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LMJ_M_R,Cropland,0,0,0,0,0,37,0,0,37,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LMJ_M_R,Bareland,0,0,0,0,0,53,1,0,6,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LMJ_M_R,Built-up,0,0,0,0,0,24,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LMJ_M_R,Shrubland,0,0,0,0,0,90,0,0,0,20,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LMJ_M_R,Bareland,0,0,0,0,0,36,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LMJ_M_R,Grassland,0,0,0,0,0,52,0,0,0,18,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LMJ_M_R,Wetland,0,0,0,0,0,42,0,0,0,32,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LMJ_M_R,Water,0,0,0,0,0,0,0,0,0,145,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LMJ_M_R,Cropland,0,0,0,0,0,42,0,0,0,5,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LMJ_M_R,Forest,0,0,0,0,0,72,0,0,0,32,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LMJ_M_R,Built-up,0,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LMJ_M_R,Grassland,0,232,16,32,195,5,9,242,0,0,0,0
