Dataset,MajorityClass,Grassland,Built-up,Forest,Water,Wetland,Bareland,Cropland,Non_Water,Shrubland,Lichens_and_Mosses,Non_Wetland
AMAZON_EXTENSION_2024_WorldCover_2021_18MZB_M_R,Shrubland,3,1,3,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MZB_M_R,Grassland,0,0,24,5,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MZB_M_R,Cropland,38,0,11,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MZB_M_R,Wetland,80,0,48,56,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MZB_M_R,Bareland,15,0,9,9,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MZB_M_R,Built-up,16,0,16,4,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MZB_M_R,Water,127,1,95,0,22,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MZB_M_R,Forest,97,6,0,34,11,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZB_M_R,Shrubland,0,0,0,2,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZB_M_R,Grassland,0,0,0,39,0,0,0,16,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZB_M_R,Wetland,0,0,0,72,0,0,0,41,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZB_M_R,Bareland,0,0,0,8,0,0,0,8,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZB_M_R,Built-up,0,0,0,8,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZB_M_R,Water,0,0,0,0,0,0,0,121,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZB_M_R,Forest,0,0,0,76,0,0,0,44,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZB_M_R,Cropland,0,0,0,18,0,0,0,5,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZB_M_R,Water,25,17,34,0,50,23,10,0,46,8,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZB_M_R,Cropland,5,1,8,1,4,7,0,0,19,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZB_M_R,Wetland,2,1,8,6,0,2,0,0,13,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZB_M_R,Built-up,4,0,3,2,0,4,1,0,8,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZB_M_R,Forest,29,21,0,17,30,36,19,0,56,8,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZB_M_R,Grassland,0,5,14,8,11,17,6,0,20,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZB_M_R,Bareland,0,0,5,1,9,0,0,0,6,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZB_M_R,Wetland,0,10,27,18,0,15,9,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZB_M_R,Water,0,19,46,0,36,21,13,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZB_M_R,Grassland,0,17,25,22,16,0,8,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZB_M_R,Forest,0,26,0,44,38,1,6,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZB_M_R,Cropland,0,5,8,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZB_M_R,Bareland,0,0,0,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZB_M_R,Wetland,0,0,0,6,0,0,0,0,0,0,37
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZB_M_R,Grassland,0,0,0,8,11,0,0,0,0,0,16
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZB_M_R,Forest,0,0,0,17,30,0,0,0,0,0,47
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZB_M_R,Built-up,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZB_M_R,Water,0,0,0,0,50,0,0,0,0,0,6
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZB_M_R,Cropland,0,0,0,1,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZB_M_R,Bareland,0,0,0,1,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZB_M_R,Water,42,0,68,0,15,29,44,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZB_M_R,Wetland,29,0,39,18,0,11,27,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZB_M_R,Forest,21,0,0,15,2,2,15,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZB_M_R,Built-up,1,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZB_M_R,Grassland,0,0,13,1,0,0,6,0,0,0,0
