Dataset,MajorityClass,Grassland,Cropland,Bareland,Forest,Water,Built-up,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22KGG_M_R,Shrubland,283,53,58,176,54,68,25,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGG_M_R,Grassland,0,134,52,191,47,79,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGG_M_R,Non_Wetland,6,1,0,5,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGG_M_R,Bareland,264,80,0,147,20,103,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGG_M_R,Built-up,398,176,159,248,53,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGG_M_R,Water,1060,90,210,777,0,39,122,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGG_M_R,Forest,1133,322,195,0,423,259,72,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGG_M_R,Cropland,815,0,217,555,110,294,9,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGG_M_R,Wetland,125,3,1,47,28,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGG_M_R,Non_Water,1,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGG_M_R,Permanent_ice_and_snow,1,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGG_M_R,Non_Wetland,2,0,0,1,1,0,8,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGG_M_R,Shrubland,76,0,46,53,36,29,42,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGG_M_R,Grassland,0,0,44,182,110,69,87,148,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGG_M_R,Cropland,685,0,251,515,145,277,102,539,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGG_M_R,Bareland,153,0,0,70,78,109,1,89,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGG_M_R,Built-up,211,0,173,154,52,0,21,214,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGG_M_R,Forest,619,0,249,0,428,230,376,777,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGG_M_R,Non_Water,0,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGG_M_R,Water,410,0,91,504,0,139,154,383,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGG_M_R,Wetland,21,0,6,17,61,8,0,28,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGG_M_R,Grassland,0,99,180,133,6,54,101,153,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGG_M_R,Non_Wetland,1,0,1,1,0,0,9,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGG_M_R,Forest,501,234,835,0,197,195,523,791,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGG_M_R,Water,117,25,980,477,0,99,326,561,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGG_M_R,Shrubland,67,28,87,37,10,38,31,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGG_M_R,Bareland,77,35,0,28,0,45,6,23,0,0,0,0
