Dataset,MajorityClass,Forest,Built-up,Bareland,Wetland,Grassland,Water,Shrubland,Non_Wetland,Cropland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21MXS_M_R,Grassland,116,5,4,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MXS_M_R,Non_Wetland,5,0,0,0,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MXS_M_R,Cropland,13,0,1,0,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MXS_M_R,Wetland,315,0,6,0,420,98,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MXS_M_R,Bareland,139,4,0,10,190,28,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MXS_M_R,Built-up,133,0,19,0,146,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MXS_M_R,Non_Water,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MXS_M_R,Water,425,0,51,193,334,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MXS_M_R,Shrubland,15,0,1,0,27,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MXS_M_R,Lichens_and_Mosses,0,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MXS_M_R,Forest,0,17,10,10,409,31,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MXS_M_R,Permanent_ice_and_snow,1,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXS_M_R,Non_Wetland,2,0,2,4,2,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXS_M_R,Grassland,49,16,74,102,0,17,12,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXS_M_R,Cropland,2,0,0,3,13,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXS_M_R,Wetland,23,0,48,0,35,326,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXS_M_R,Bareland,41,21,0,110,16,154,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXS_M_R,Built-up,11,0,96,38,36,15,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXS_M_R,Forest,0,81,322,503,267,292,16,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXS_M_R,Non_Water,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXS_M_R,Water,63,19,38,318,17,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXS_M_R,Shrubland,4,2,5,10,4,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXS_M_R,Lichens_and_Mosses,0,1,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXS_M_R,Permanent_ice_and_snow,0,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXS_M_R,Grassland,0,0,0,20,0,2,0,164,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXS_M_R,Wetland,0,0,0,0,0,31,0,247,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXS_M_R,Forest,0,0,0,223,0,62,0,728,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXS_M_R,Water,0,0,0,366,0,0,0,302,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXS_M_R,Shrubland,0,0,0,0,0,0,0,17,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXS_M_R,Bareland,0,0,0,76,0,8,0,120,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXS_M_R,Built-up,0,0,0,6,0,4,0,57,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXS_M_R,Cropland,0,0,0,0,0,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXS_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXS_M_R,Non_Wetland,0,0,2,9,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXS_M_R,Forest,0,144,313,403,443,101,0,0,133,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXS_M_R,Grassland,18,23,69,72,0,1,0,0,12,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXS_M_R,Built-up,1,0,105,17,55,3,0,0,17,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXS_M_R,Non_Water,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXS_M_R,Water,19,42,134,328,34,0,0,0,133,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXS_M_R,Shrubland,0,6,15,7,11,1,0,0,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXS_M_R,Wetland,12,4,61,0,137,201,0,0,101,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXS_M_R,Bareland,0,26,0,20,21,43,0,0,62,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXS_M_R,Lichens_and_Mosses,0,0,1,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXS_M_R,Cropland,2,1,7,2,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXS_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MXS_M_R,Grassland,0,0,0,0,0,47,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MXS_M_R,Wetland,0,0,0,0,0,398,0,0,0,157,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MXS_M_R,Built-up,0,0,0,0,0,33,0,0,0,0,0,0
