Dataset,MajorityClass,Forest,Built-up,Bareland,Wetland,Grassland,Water,Shrubland,Non_Wetland,Cropland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MXS_M_R,Shrubland,0,0,0,0,0,4,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MXS_M_R,Bareland,0,0,0,0,0,214,0,0,0,17,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MXS_M_R,Water,0,0,0,0,0,0,0,0,0,143,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MXS_M_R,Forest,0,0,0,0,0,364,0,0,0,77,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MXS_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MXS_M_R,Grassland,47,28,34,20,0,2,91,0,2,0,7,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MXS_M_R,Wetland,10,21,79,0,13,31,71,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MXS_M_R,Bareland,16,90,0,76,31,8,117,0,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MXS_M_R,Forest,0,102,187,223,318,62,305,0,10,0,9,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MXS_M_R,Built-up,24,0,12,6,45,4,71,0,0,0,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MXS_M_R,Water,41,44,139,366,39,0,121,0,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MXS_M_R,Cropland,3,3,0,0,1,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MXS_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MXS_M_R,Grassland,61,110,6,14,0,6,0,0,32,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MXS_M_R,Wetland,123,78,50,0,0,131,0,0,23,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MXS_M_R,Forest,0,275,27,72,0,163,0,0,39,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MXS_M_R,Water,83,40,194,128,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MXS_M_R,Built-up,10,0,7,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MXS_M_R,Bareland,26,59,0,4,0,20,0,0,1,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MXS_M_R,Shrubland,0,3,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MXS_M_R,Permanent_ice_and_snow,0,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MXS_M_R,Forest,0,0,23,1,17,5,0,0,40,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MXS_M_R,Wetland,435,0,88,0,67,155,0,0,3,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MXS_M_R,Water,324,0,180,47,16,0,0,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MXS_M_R,Grassland,165,0,11,4,0,1,0,0,42,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MXS_M_R,Built-up,70,0,8,3,0,1,0,0,10,0,0,7
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MXS_M_R,Bareland,31,0,0,1,0,4,0,0,4,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MXS_M_R,Shrubland,3,0,0,0,0,0,0,0,0,0,0,0
