Dataset,MajorityClass,Grassland,Forest,Built-up,Bareland,Wetland,Water,Shrubland,Cropland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19NGB_M_R,Shrubland,4,1,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NGB_M_R,Grassland,0,19,10,2,2,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NGB_M_R,Wetland,111,133,0,5,0,40,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NGB_M_R,Cropland,1,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NGB_M_R,Water,127,158,0,11,56,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NGB_M_R,Built-up,17,14,0,7,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NGB_M_R,Forest,114,0,12,0,17,39,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NGB_M_R,Bareland,0,0,3,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NGB_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGB_M_R,Grassland,0,12,6,1,6,0,15,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGB_M_R,Wetland,9,11,1,2,0,14,11,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGB_M_R,Forest,118,0,15,7,106,38,42,8,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGB_M_R,Water,45,89,0,0,151,0,14,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGB_M_R,Bareland,0,0,1,0,2,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGB_M_R,Built-up,12,5,0,2,0,0,13,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGB_M_R,Cropland,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGB_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGB_M_R,Grassland,0,0,0,0,6,0,0,0,77,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGB_M_R,Shrubland,0,0,0,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGB_M_R,Wetland,0,0,0,0,0,14,0,0,36,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGB_M_R,Forest,0,0,0,0,106,38,0,0,295,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGB_M_R,Water,0,0,0,0,151,0,0,0,70,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGB_M_R,Cropland,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGB_M_R,Built-up,0,0,0,0,0,0,0,0,48,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGB_M_R,Bareland,0,0,0,0,2,0,0,0,4,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NGB_M_R,Grassland,0,10,0,0,48,7,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NGB_M_R,Shrubland,1,1,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NGB_M_R,Water,3,24,0,0,114,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NGB_M_R,Wetland,9,7,0,0,0,63,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NGB_M_R,Built-up,14,5,0,0,24,7,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NGB_M_R,Forest,42,0,0,6,224,78,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NGB_M_R,Bareland,3,0,0,0,2,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NGB_M_R,Shrubland,1,0,0,0,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NGB_M_R,Grassland,0,0,0,1,40,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NGB_M_R,Forest,93,0,0,7,175,69,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NGB_M_R,Wetland,21,5,0,0,0,93,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NGB_M_R,Cropland,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NGB_M_R,Built-up,12,1,0,3,36,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NGB_M_R,Water,25,12,0,3,119,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NGB_M_R,Bareland,1,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NGB_M_R,Shrubland,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NGB_M_R,Grassland,0,0,0,0,0,9,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NGB_M_R,Wetland,0,0,0,0,0,72,0,0,0,57,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NGB_M_R,Water,0,0,0,0,0,0,0,0,0,123,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NGB_M_R,Forest,0,0,0,0,0,72,0,0,0,46,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NGB_M_R,Built-up,0,0,0,0,0,2,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NGB_M_R,Bareland,0,0,0,0,0,1,0,0,0,1,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NGB_M_R,Grassland,0,23,39,2,1,14,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NGB_M_R,Water,0,23,25,17,45,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NGB_M_R,Built-up,0,0,0,3,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NGB_M_R,Wetland,0,62,38,0,0,60,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NGB_M_R,Forest,0,0,61,1,11,113,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NGB_M_R,Bareland,0,0,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NGB_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,0,0
