Dataset,MajorityClass,Forest,Bareland,Built-up,Water,Grassland,Wetland,Shrubland,Non_Wetland,Non_Water,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21MUN_M_R,Grassland,154,13,35,4,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUN_M_R,Non_Wetland,9,2,0,0,8,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUN_M_R,Shrubland,43,3,2,1,106,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUN_M_R,Wetland,287,26,1,98,398,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUN_M_R,Bareland,94,0,3,53,200,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUN_M_R,Water,352,58,0,0,255,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUN_M_R,Forest,0,14,14,94,422,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUN_M_R,Non_Water,0,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUN_M_R,Cropland,29,3,9,0,48,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUN_M_R,Lichens_and_Mosses,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUN_M_R,Built-up,31,4,0,4,43,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUN_M_R,Permanent_ice_and_snow,2,5,0,0,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUN_M_R,Non_Wetland,2,2,0,2,2,13,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUN_M_R,Shrubland,13,11,0,8,26,26,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUN_M_R,Grassland,57,57,0,27,0,124,70,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUN_M_R,Bareland,14,0,0,84,47,91,19,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUN_M_R,Water,67,132,0,0,110,251,26,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUN_M_R,Forest,0,233,0,229,390,443,218,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUN_M_R,Non_Water,0,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUN_M_R,Cropland,22,9,0,3,35,12,10,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUN_M_R,Wetland,33,40,0,142,108,0,53,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUN_M_R,Lichens_and_Mosses,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUN_M_R,Built-up,7,21,0,9,39,12,14,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUN_M_R,Permanent_ice_and_snow,1,0,0,0,2,5,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUN_M_R,Grassland,12,118,0,19,0,76,83,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUN_M_R,Non_Wetland,0,2,0,2,4,11,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUN_M_R,Forest,0,380,0,156,463,236,291,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUN_M_R,Bareland,0,0,0,41,50,20,10,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUN_M_R,Non_Water,0,1,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUN_M_R,Water,66,285,0,0,137,89,51,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUN_M_R,Shrubland,0,19,0,7,24,18,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUN_M_R,Cropland,2,33,0,3,29,12,12,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUN_M_R,Wetland,16,170,0,111,175,0,100,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUN_M_R,Lichens_and_Mosses,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUN_M_R,Built-up,0,35,0,2,31,9,25,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUN_M_R,Permanent_ice_and_snow,0,7,0,0,4,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUN_M_R,Grassland,0,0,0,6,0,40,0,206,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUN_M_R,Wetland,0,0,0,1,0,0,0,136,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUN_M_R,Forest,0,0,0,44,0,327,0,621,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUN_M_R,Water,0,0,0,0,0,400,0,153,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUN_M_R,Shrubland,0,0,0,0,0,0,0,49,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUN_M_R,Cropland,0,0,0,0,0,0,0,23,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUN_M_R,Bareland,0,0,0,13,0,88,0,95,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUN_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUN_M_R,Built-up,0,0,0,0,0,0,0,21,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUN_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,6,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUN_M_R,Grassland,0,0,0,27,0,0,0,0,5,0,0,0
