Dataset,MajorityClass,Grassland,Forest,Built-up,Cropland,Bareland,Wetland,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22MGT_M_R,Shrubland,181,110,45,11,11,8,7,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MGT_M_R,Grassland,0,407,94,94,86,95,40,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MGT_M_R,Non_Wetland,7,8,0,0,1,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MGT_M_R,Bareland,260,139,67,26,0,4,48,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MGT_M_R,Built-up,327,251,0,40,75,2,30,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MGT_M_R,Cropland,349,209,64,0,29,5,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MGT_M_R,Wetland,409,369,3,6,46,0,185,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MGT_M_R,Water,544,621,9,3,156,174,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MGT_M_R,Forest,693,0,82,28,44,77,84,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MGT_M_R,Non_Water,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MGT_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGT_M_R,Non_Wetland,7,0,0,0,1,11,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGT_M_R,Shrubland,85,18,14,0,34,36,9,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGT_M_R,Grassland,0,112,49,0,88,198,59,98,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGT_M_R,Cropland,383,81,32,0,50,64,3,35,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGT_M_R,Wetland,438,14,16,0,31,0,308,21,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGT_M_R,Bareland,336,19,59,0,0,37,99,12,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGT_M_R,Built-up,146,41,0,0,93,35,27,101,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGT_M_R,Water,820,54,90,0,33,295,0,67,0,0,0,0
