Dataset,MajorityClass,Grassland,Forest,Bareland,Built-up,Water,Wetland,Shrubland,Cropland,Non_Water,Non_Wetland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20NMJ_M_R,Shrubland,32,19,2,4,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NMJ_M_R,Grassland,0,46,10,10,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NMJ_M_R,Bareland,74,69,0,2,34,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NMJ_M_R,Forest,272,0,77,0,127,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NMJ_M_R,Cropland,1,3,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NMJ_M_R,Wetland,26,68,11,0,29,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NMJ_M_R,Water,123,326,122,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NMJ_M_R,Built-up,2,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NMJ_M_R,Shrubland,12,13,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NMJ_M_R,Grassland,0,54,44,0,1,9,43,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NMJ_M_R,Bareland,16,6,0,0,9,12,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NMJ_M_R,Forest,98,0,337,0,136,194,57,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NMJ_M_R,Water,11,159,355,0,0,184,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NMJ_M_R,Cropland,0,2,2,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NMJ_M_R,Wetland,2,8,25,0,15,0,8,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NMJ_M_R,Built-up,4,4,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NMJ_M_R,Grassland,0,58,0,5,0,8,71,5,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NMJ_M_R,Forest,111,0,1,1,87,156,173,34,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NMJ_M_R,Bareland,43,110,0,3,17,23,82,13,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NMJ_M_R,Water,27,250,0,0,0,195,73,18,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NMJ_M_R,Shrubland,1,6,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NMJ_M_R,Wetland,1,21,0,0,2,0,2,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NMJ_M_R,Built-up,0,1,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NMJ_M_R,Cropland,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NMJ_M_R,Shrubland,17,5,4,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NMJ_M_R,Forest,307,0,197,0,152,33,91,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NMJ_M_R,Grassland,0,23,40,0,1,0,47,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NMJ_M_R,Water,200,115,185,0,0,21,14,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NMJ_M_R,Cropland,1,0,4,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NMJ_M_R,Wetland,34,12,26,0,22,0,7,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NMJ_M_R,Built-up,2,0,6,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NMJ_M_R,Bareland,31,5,0,0,3,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NMJ_M_R,Bareland,0,0,0,0,64,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NMJ_M_R,Grassland,0,0,0,0,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NMJ_M_R,Wetland,0,0,0,0,20,0,0,0,12,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NMJ_M_R,Forest,0,0,0,0,166,0,0,0,76,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NMJ_M_R,Water,0,0,0,0,0,0,0,0,124,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NMJ_M_R,Cropland,0,0,0,0,0,0,0,0,0,3,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NMJ_M_R,Grassland,0,0,0,0,0,8,0,0,0,35,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NMJ_M_R,Bareland,0,0,0,0,17,23,0,0,0,48,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NMJ_M_R,Forest,0,0,0,0,87,156,0,0,0,290,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NMJ_M_R,Wetland,0,0,0,0,2,0,0,0,0,27,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NMJ_M_R,Water,0,0,0,0,0,195,0,0,0,103,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NMJ_M_R,Bareland,0,24,0,24,60,38,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NMJ_M_R,Grassland,0,45,0,25,11,23,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NMJ_M_R,Water,0,84,20,8,0,84,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NMJ_M_R,Forest,0,0,2,34,266,122,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NMJ_M_R,Wetland,0,19,0,1,37,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NMJ_M_R,Shrubland,0,6,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NMJ_M_R,Cropland,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NMJ_M_R,Shrubland,7,6,4,0,16,0,0,6,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NMJ_M_R,Bareland,3,36,0,0,26,1,0,3,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NMJ_M_R,Forest,29,0,19,0,124,16,0,30,0,0,10
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NMJ_M_R,Wetland,3,51,1,0,29,0,0,5,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NMJ_M_R,Water,2,294,51,0,0,30,0,7,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NMJ_M_R,Grassland,0,54,9,0,30,3,0,15,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NMJ_M_R,Built-up,0,0,1,0,0,0,0,0,0,0,0
