Dataset,MajorityClass,Grassland,Wetland,Bareland,Water,Forest,Cropland,Built-up,Shrubland,Non_Wetland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDE_M_R,Non_Wetland,1,4,1,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDE_M_R,Shrubland,7,10,5,1,1,2,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDE_M_R,Grassland,0,63,82,9,8,0,18,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDE_M_R,Wetland,165,0,158,92,28,0,13,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDE_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDE_M_R,Bareland,17,11,0,3,4,0,7,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDE_M_R,Built-up,35,27,58,10,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDE_M_R,Water,92,134,102,0,33,0,15,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDE_M_R,Forest,177,134,150,48,0,1,33,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDE_M_R,Cropland,29,18,54,4,3,0,9,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDE_M_R,Permanent_ice_and_snow,8,0,2,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDE_M_R,Non_Wetland,1,4,1,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDE_M_R,Grassland,0,113,37,38,38,0,26,18,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDE_M_R,Bareland,39,67,0,10,20,0,21,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDE_M_R,Built-up,22,59,49,19,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDE_M_R,Forest,102,233,76,101,0,0,41,22,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDE_M_R,Shrubland,3,6,3,1,4,0,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDE_M_R,Wetland,65,0,53,163,45,0,9,13,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDE_M_R,Lichens_and_Mosses,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDE_M_R,Water,26,176,35,0,59,0,14,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDE_M_R,Cropland,23,64,12,4,12,0,9,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDE_M_R,Permanent_ice_and_snow,0,15,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDE_M_R,Wetland,0,0,0,23,0,0,0,0,419,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDE_M_R,Shrubland,0,0,0,0,0,0,0,0,16,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDE_M_R,Grassland,0,22,0,3,0,0,0,0,188,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDE_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDE_M_R,Bareland,0,7,0,6,0,0,0,0,81,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDE_M_R,Built-up,0,16,0,6,0,0,0,0,81,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDE_M_R,Forest,0,76,0,22,0,0,0,0,341,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDE_M_R,Cropland,0,6,0,1,0,0,0,0,74,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDE_M_R,Water,0,63,0,0,0,0,0,0,210,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDE_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,15,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDE_M_R,Grassland,0,22,24,3,36,1,37,55,0,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDE_M_R,Wetland,79,0,61,23,47,2,55,79,0,27,0
