Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Water,Forest,Wetland,Non_Water,Non_Wetland,Shrubland,Lichens_and_Mosses
AMAZON_EXTENSION_2024_WorldCover_2021_20KQB_M_R,Shrubland,2,1,1,1,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KQB_M_R,Grassland,0,7,8,1,2,10,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KQB_M_R,Cropland,76,0,52,27,24,54,7,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KQB_M_R,Wetland,35,0,10,1,3,22,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KQB_M_R,Lichens_and_Mosses,1,0,1,1,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KQB_M_R,Bareland,52,6,0,17,13,30,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KQB_M_R,Built-up,11,4,10,0,2,10,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KQB_M_R,Water,97,9,65,1,0,90,10,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KQB_M_R,Forest,58,14,30,25,11,0,7,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KQB_M_R,Grassland,0,0,0,0,13,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KQB_M_R,Cropland,0,0,0,0,60,0,0,4,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KQB_M_R,Wetland,0,0,0,0,19,0,0,6,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KQB_M_R,Lichens_and_Mosses,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KQB_M_R,Bareland,0,0,0,0,44,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KQB_M_R,Built-up,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KQB_M_R,Forest,0,0,0,0,47,0,0,10,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KQB_M_R,Water,0,0,0,0,0,0,0,70,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KQB_M_R,Cropland,0,0,0,0,9,0,8,0,11,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KQB_M_R,Wetland,0,0,0,0,1,0,0,0,23,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KQB_M_R,Forest,0,0,0,0,17,0,21,0,19,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KQB_M_R,Grassland,0,0,0,0,2,0,1,0,1,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KQB_M_R,Water,0,0,0,0,0,0,32,0,11,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KQB_M_R,Bareland,0,0,0,0,3,0,6,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KQB_M_R,Cropland,41,0,33,32,9,31,8,0,0,42,16
