Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Water,Forest,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20KKC_M_R,Shrubland,3,3,1,3,1,2,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KKC_M_R,Grassland,0,13,0,5,1,1,12,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KKC_M_R,Cropland,37,0,1,27,20,14,31,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KKC_M_R,Wetland,17,8,0,9,0,9,9,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KKC_M_R,Lichens_and_Mosses,1,1,0,1,1,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KKC_M_R,Bareland,63,49,1,0,20,49,28,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KKC_M_R,Built-up,12,12,0,10,0,10,10,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KKC_M_R,Water,59,39,0,60,4,0,47,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KKC_M_R,Forest,32,22,1,17,10,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KKC_M_R,Permanent_ice_and_snow,3,0,0,3,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KKC_M_R,Shrubland,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KKC_M_R,Cropland,0,0,2,0,0,4,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KKC_M_R,Grassland,0,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KKC_M_R,Wetland,0,0,0,0,0,0,0,8,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KKC_M_R,Bareland,0,0,20,0,0,7,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KKC_M_R,Water,0,0,37,0,0,0,0,1,0,0,0,0
