Dataset,MajorityClass,Built-up,Wetland,Water,Forest,Bareland,Grassland,Non_Wetland,Shrubland,Lichens_and_Mosses,Cropland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MBQ_M_R,Bareland,15,3,7,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MBQ_M_R,Non_Wetland,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MBQ_M_R,Shrubland,2,5,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MBQ_M_R,Water,15,140,0,58,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MBQ_M_R,Grassland,2,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MBQ_M_R,Forest,36,251,180,0,43,28,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MBQ_M_R,Built-up,0,1,2,0,15,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MBQ_M_R,Cropland,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MBQ_M_R,Wetland,0,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MBQ_M_R,Non_Wetland,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MBQ_M_R,Shrubland,0,0,2,0,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MBQ_M_R,Built-up,0,0,13,0,18,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MBQ_M_R,Grassland,0,0,2,0,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MBQ_M_R,Water,12,3,0,31,48,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MBQ_M_R,Forest,29,11,233,0,104,33,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MBQ_M_R,Cropland,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MBQ_M_R,Bareland,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MBQ_M_R,Wetland,0,0,12,3,7,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MBQ_M_R,Non_Wetland,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MBQ_M_R,Shrubland,0,0,0,4,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MBQ_M_R,Bareland,1,0,6,1,0,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MBQ_M_R,Built-up,0,0,0,24,2,21,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MBQ_M_R,Water,1,0,0,119,2,66,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MBQ_M_R,Grassland,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MBQ_M_R,Forest,2,0,131,0,5,115,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MBQ_M_R,Cropland,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MBQ_M_R,Wetland,0,0,15,12,0,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBQ_M_R,Shrubland,0,0,0,0,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBQ_M_R,Water,0,119,0,0,0,0,70,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBQ_M_R,Grassland,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBQ_M_R,Forest,0,106,54,0,0,0,216,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBQ_M_R,Bareland,0,3,11,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBQ_M_R,Built-up,0,0,7,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBQ_M_R,Cropland,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBQ_M_R,Bareland,0,3,11,2,0,3,0,5,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBQ_M_R,Built-up,0,0,7,6,0,3,0,28,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBQ_M_R,Water,17,119,0,54,53,29,0,28,8,24,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBQ_M_R,Grassland,0,0,0,1,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBQ_M_R,Forest,31,106,54,0,63,68,0,104,10,28,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBQ_M_R,Cropland,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MBQ_M_R,Forest,0,0,154,0,0,0,0,0,0,0,115,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MBQ_M_R,Built-up,0,0,8,0,0,0,0,0,0,0,3,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MBQ_M_R,Water,0,0,0,0,0,0,0,0,0,0,121,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MBQ_M_R,Bareland,0,0,2,0,0,0,0,0,0,0,4,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MBQ_M_R,Wetland,0,0,8,0,0,0,0,0,0,0,12,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBQ_M_R,Water,9,0,0,119,22,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBQ_M_R,Grassland,3,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBQ_M_R,Bareland,2,0,2,4,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBQ_M_R,Forest,21,1,128,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBQ_M_R,Wetland,0,0,15,18,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBQ_M_R,Built-up,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MBQ_M_R,Water,0,0,0,316,47,9,0,0,0,3,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MBQ_M_R,Forest,0,0,3,0,0,2,0,0,0,2,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MBQ_M_R,Built-up,0,0,0,21,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MBQ_M_R,Wetland,0,0,4,30,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MBQ_M_R,Bareland,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MBQ_M_R,Grassland,0,0,0,2,0,0,0,0,0,0,0,0
