Dataset,MajorityClass,Built-up,Water,Wetland,Forest,Bareland,Grassland,Cropland,Non_Wetland,Shrubland,Lichens_and_Mosses,Non_Water
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZA_M_R,Bareland,19,5,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZA_M_R,Shrubland,1,0,4,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZA_M_R,Water,15,0,121,62,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZA_M_R,Grassland,3,1,4,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZA_M_R,Wetland,0,9,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZA_M_R,Forest,35,117,183,0,37,24,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZA_M_R,Built-up,0,2,0,0,14,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZA_M_R,Cropland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MZA_M_R,Water,3,0,24,239,5,199,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MZA_M_R,Shrubland,0,1,0,6,0,9,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MZA_M_R,Built-up,0,10,0,42,7,39,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MZA_M_R,Grassland,0,4,2,32,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MZA_M_R,Cropland,0,6,1,16,0,29,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MZA_M_R,Wetland,0,83,0,65,0,89,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MZA_M_R,Lichens_and_Mosses,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MZA_M_R,Bareland,2,24,0,12,0,13,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MZA_M_R,Forest,4,138,4,0,3,234,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZA_M_R,Shrubland,0,5,0,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZA_M_R,Grassland,1,12,0,0,16,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZA_M_R,Cropland,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZA_M_R,Wetland,0,26,0,3,15,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZA_M_R,Water,12,0,0,36,74,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZA_M_R,Built-up,0,11,0,0,24,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZA_M_R,Forest,29,311,0,0,134,48,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZA_M_R,Bareland,0,5,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZA_M_R,Shrubland,0,0,0,0,0,0,0,4,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZA_M_R,Water,0,0,224,0,0,0,0,66,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZA_M_R,Grassland,0,7,11,0,0,0,0,20,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZA_M_R,Forest,0,79,157,0,0,0,0,192,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZA_M_R,Wetland,0,6,0,0,0,0,0,33,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZA_M_R,Bareland,0,13,18,0,0,0,0,0,0,0,0
