Dataset,MajorityClass,Cropland,Bareland,Forest,Built-up,Water,Wetland,Grassland,Non_Wetland,Shrubland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22KBU_M_R,Grassland,114,19,123,39,11,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KBU_M_R,Non_Wetland,1,0,3,0,1,1,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KBU_M_R,Bareland,19,0,28,18,6,0,36,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KBU_M_R,Built-up,43,40,55,0,11,0,68,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KBU_M_R,Water,90,120,280,20,0,8,218,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KBU_M_R,Forest,131,71,0,63,105,10,242,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KBU_M_R,Cropland,0,67,168,69,41,0,203,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KBU_M_R,Wetland,11,12,77,3,41,0,89,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KBU_M_R,Shrubland,12,1,18,8,1,0,20,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KBU_M_R,Lichens_and_Mosses,1,0,1,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBU_M_R,Non_Wetland,0,0,1,0,0,2,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBU_M_R,Grassland,0,43,46,54,19,89,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBU_M_R,Cropland,0,133,70,103,75,63,116,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBU_M_R,Bareland,0,0,0,18,22,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBU_M_R,Built-up,0,52,15,0,12,2,28,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBU_M_R,Forest,0,94,0,81,131,190,94,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBU_M_R,Shrubland,0,10,3,9,0,5,9,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBU_M_R,Water,0,79,117,54,0,114,17,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBU_M_R,Wetland,0,1,14,0,26,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBU_M_R,Lichens_and_Mosses,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KBU_M_R,Grassland,0,0,0,0,5,4,0,174,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KBU_M_R,Wetland,0,0,0,0,0,0,0,125,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KBU_M_R,Forest,0,0,0,0,32,52,0,367,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KBU_M_R,Shrubland,0,0,0,0,0,0,0,13,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KBU_M_R,Water,0,0,0,0,0,88,0,225,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KBU_M_R,Cropland,0,0,0,0,7,1,0,142,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KBU_M_R,Built-up,0,0,0,0,1,0,0,14,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KBU_M_R,Bareland,0,0,0,0,3,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBU_M_R,Forest,59,49,0,68,72,210,92,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBU_M_R,Grassland,40,14,53,36,0,104,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBU_M_R,Bareland,11,0,3,9,3,2,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBU_M_R,Non_Wetland,0,0,0,0,1,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBU_M_R,Water,12,58,125,57,0,230,15,0,0,0,0,0
