Dataset,MajorityClass,Grassland,Forest,Wetland,Water,Cropland,Built-up,Bareland,Non_Wetland,Shrubland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21LXF_M_R,Shrubland,273,131,62,22,42,22,24,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LXF_M_R,Grassland,0,154,50,26,97,16,36,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LXF_M_R,Bareland,356,139,63,40,70,61,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LXF_M_R,Forest,899,0,86,165,220,113,102,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LXF_M_R,Non_Wetland,5,4,3,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LXF_M_R,Cropland,724,467,9,37,0,174,198,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LXF_M_R,Wetland,203,106,0,103,1,1,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LXF_M_R,Built-up,304,169,0,5,123,0,83,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LXF_M_R,Water,737,525,239,0,73,12,148,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LXF_M_R,Non_Water,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LXF_M_R,Lichens_and_Mosses,2,1,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LXF_M_R,Shrubland,0,0,0,0,0,0,0,159,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LXF_M_R,Wetland,0,0,0,12,0,0,0,157,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LXF_M_R,Grassland,0,0,63,45,0,0,0,173,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LXF_M_R,Water,0,0,380,0,0,0,0,315,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LXF_M_R,Cropland,0,0,26,42,0,0,0,158,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LXF_M_R,Forest,0,0,267,172,0,0,0,703,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LXF_M_R,Bareland,0,0,15,56,0,0,0,67,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LXF_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LXF_M_R,Built-up,0,0,7,27,0,0,0,28,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXF_M_R,Shrubland,56,35,51,26,0,5,28,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXF_M_R,Non_Wetland,3,1,6,0,0,0,1,0,6,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXF_M_R,Grassland,0,124,81,71,0,51,71,0,178,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXF_M_R,Cropland,445,357,95,59,0,180,320,0,455,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXF_M_R,Wetland,32,31,0,125,0,2,33,0,155,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXF_M_R,Bareland,104,54,4,51,0,57,0,0,90,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXF_M_R,Water,116,196,164,0,0,20,208,0,402,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXF_M_R,Forest,397,0,343,305,0,111,299,0,851,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXF_M_R,Lichens_and_Mosses,2,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXF_M_R,Built-up,77,67,4,20,0,0,135,0,114,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXF_M_R,Grassland,0,32,57,34,78,27,186,0,133,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXF_M_R,Non_Wetland,3,0,9,1,0,0,0,0,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXF_M_R,Wetland,83,15,0,134,6,3,45,0,79,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXF_M_R,Forest,549,0,449,236,204,79,598,0,674,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXF_M_R,Non_Water,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXF_M_R,Water,212,170,350,0,61,44,533,0,225,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXF_M_R,Shrubland,83,15,58,24,27,6,83,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXF_M_R,Built-up,157,33,24,5,75,0,219,0,66,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXF_M_R,Cropland,464,110,55,35,0,161,551,0,218,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXF_M_R,Bareland,71,8,2,10,115,23,0,0,35,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXF_M_R,Lichens_and_Mosses,1,0,1,0,0,0,1,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LXF_M_R,Shrubland,0,0,0,27,0,0,0,0,0,13,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LXF_M_R,Grassland,0,0,0,98,0,0,0,0,0,47,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LXF_M_R,Water,0,0,0,0,0,0,0,0,0,355,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LXF_M_R,Bareland,0,0,0,96,0,0,0,0,0,31,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LXF_M_R,Cropland,0,0,0,47,0,0,0,0,0,11,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LXF_M_R,Wetland,0,0,0,121,0,0,0,0,0,74,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LXF_M_R,Built-up,0,0,0,4,0,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LXF_M_R,Forest,0,0,0,157,0,0,0,0,0,146,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LXF_M_R,Grassland,0,227,63,45,320,120,21,0,467,0,22,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LXF_M_R,Wetland,0,36,0,12,2,0,9,0,63,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LXF_M_R,Forest,29,0,267,172,580,215,87,0,840,0,26,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LXF_M_R,Cropland,23,250,26,42,0,208,10,0,549,0,44,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LXF_M_R,Bareland,0,116,15,56,294,124,0,0,297,0,22,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LXF_M_R,Built-up,2,53,7,27,198,0,6,0,208,0,15,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LXF_M_R,Water,2,287,380,0,223,53,61,0,474,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LXF_M_R,Shrubland,1,20,0,0,20,9,0,0,0,0,1,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LXF_M_R,Grassland,0,120,0,60,550,151,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LXF_M_R,Forest,0,0,15,436,678,410,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LXF_M_R,Shrubland,0,77,0,49,170,99,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LXF_M_R,Bareland,0,64,0,95,324,159,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LXF_M_R,Wetland,0,95,0,101,157,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LXF_M_R,Water,0,109,22,0,371,67,17,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LXF_M_R,Built-up,0,13,0,5,100,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LXF_M_R,Cropland,0,139,0,14,0,199,16,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LXF_M_R,Wetland,67,215,0,60,5,0,31,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LXF_M_R,Forest,113,0,6,73,173,0,117,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LXF_M_R,Shrubland,61,161,6,25,56,0,63,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LXF_M_R,Cropland,174,238,0,40,0,0,242,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LXF_M_R,Bareland,17,50,0,15,33,0,0,0,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LXF_M_R,Water,80,456,60,0,46,0,141,0,0,0,0,3
