Dataset,MajorityClass,Shrubland,Grassland,Bareland,Built-up,Forest,Water,Cropland,Wetland,Non_Wetland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MTE_M_R,Cropland,8,6,7,5,7,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MTE_M_R,Wetland,7,3,3,0,6,1,4,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MTE_M_R,Bareland,8,7,0,5,7,1,7,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MTE_M_R,Built-up,1,1,1,0,1,0,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MTE_M_R,Water,8,8,7,6,7,0,7,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MTE_M_R,Forest,8,8,7,7,0,1,7,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MTE_M_R,Grassland,6,0,4,3,6,0,5,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MTE_M_R,Permanent_ice_and_snow,4,1,1,0,3,0,3,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MTE_M_R,Wetland,0,0,0,0,0,1,0,0,23,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MTE_M_R,Grassland,0,0,0,0,0,0,0,0,4,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MTE_M_R,Cropland,0,0,0,0,0,1,0,0,4,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MTE_M_R,Forest,0,0,0,0,0,1,0,1,7,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MTE_M_R,Bareland,0,0,0,0,0,1,0,1,5,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MTE_M_R,Water,0,0,0,0,0,0,0,1,5,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MTE_M_R,Water,0,0,12,9,12,0,8,11,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MTE_M_R,Wetland,0,0,8,6,8,9,4,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MTE_M_R,Grassland,0,0,3,4,5,3,5,4,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MTE_M_R,Cropland,0,0,5,6,6,4,0,3,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MTE_M_R,Bareland,0,0,0,4,6,6,4,5,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MTE_M_R,Permanent_ice_and_snow,0,0,3,0,3,3,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MTE_M_R,Forest,0,0,5,5,0,7,6,6,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MTE_M_R,Wetland,0,4,6,0,5,6,6,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MTE_M_R,Water,0,5,5,0,6,0,5,4,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MTE_M_R,Cropland,0,1,1,0,1,1,0,1,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MTE_M_R,Built-up,0,1,1,0,1,1,1,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MTE_M_R,Forest,0,1,1,0,0,1,1,1,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MTE_M_R,Bareland,0,0,0,0,1,1,1,0,0,0
