Dataset,MajorityClass,Forest,Bareland,Built-up,Cropland,Wetland,Water,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23MKS_M_R,Grassland,388,76,79,36,12,15,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKS_M_R,Non_Wetland,4,0,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKS_M_R,Cropland,171,56,57,0,0,3,320,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKS_M_R,Wetland,375,18,7,2,0,117,580,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKS_M_R,Bareland,118,0,68,15,0,17,367,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKS_M_R,Built-up,93,52,0,0,0,5,180,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKS_M_R,Water,575,165,4,7,92,0,667,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKS_M_R,Forest,0,57,53,8,25,85,725,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKS_M_R,Shrubland,13,6,7,1,0,2,17,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKS_M_R,Lichens_and_Mosses,1,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MKS_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKS_M_R,Non_Wetland,1,0,0,0,5,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKS_M_R,Grassland,159,108,86,0,170,96,0,12,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKS_M_R,Cropland,91,47,43,0,52,11,191,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKS_M_R,Bareland,50,0,119,0,13,45,179,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKS_M_R,Water,201,55,24,0,229,0,532,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKS_M_R,Forest,0,150,75,0,490,169,753,34,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKS_M_R,Shrubland,6,4,6,0,3,1,9,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKS_M_R,Built-up,25,43,0,0,8,3,58,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKS_M_R,Wetland,130,15,2,0,0,265,437,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MKS_M_R,Lichens_and_Mosses,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKS_M_R,Grassland,0,0,0,0,139,22,0,0,532,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKS_M_R,Wetland,0,0,0,0,0,28,0,0,329,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKS_M_R,Forest,0,0,0,0,330,115,0,0,780,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKS_M_R,Water,0,0,0,0,399,0,0,0,359,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKS_M_R,Shrubland,0,0,0,0,0,0,0,0,6,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKS_M_R,Bareland,0,0,0,0,17,9,0,0,31,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKS_M_R,Cropland,0,0,0,0,13,3,0,0,59,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MKS_M_R,Built-up,0,0,0,0,21,0,0,0,14,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKS_M_R,Non_Wetland,0,2,0,0,2,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKS_M_R,Forest,0,541,7,245,275,350,602,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKS_M_R,Grassland,103,442,50,346,125,147,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKS_M_R,Bareland,18,0,33,208,4,12,33,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKS_M_R,Water,61,356,4,103,185,0,197,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKS_M_R,Shrubland,1,14,1,13,3,4,8,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKS_M_R,Built-up,7,153,0,86,2,12,61,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKS_M_R,Wetland,15,225,0,33,0,362,196,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKS_M_R,Lichens_and_Mosses,0,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MKS_M_R,Cropland,28,120,16,0,2,5,69,0,0,0,0,0
