Dataset,MajorityClass,Forest,Bareland,Built-up,Wetland,Water,Cropland,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20MRB_M_R,Grassland,510,47,54,61,22,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRB_M_R,Non_Wetland,15,0,1,0,0,0,12,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRB_M_R,Cropland,152,11,20,5,4,0,233,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRB_M_R,Wetland,1361,50,58,0,260,0,2099,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRB_M_R,Bareland,483,0,80,58,90,0,837,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRB_M_R,Built-up,461,162,0,50,77,0,633,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRB_M_R,Water,1362,196,53,827,0,0,2113,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRB_M_R,Non_Water,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRB_M_R,Shrubland,37,6,10,3,1,0,34,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRB_M_R,Lichens_and_Mosses,2,0,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRB_M_R,Forest,0,99,186,92,122,0,1254,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRB_M_R,Permanent_ice_and_snow,5,0,0,0,1,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRB_M_R,Non_Wetland,1,4,0,14,4,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRB_M_R,Grassland,177,490,110,638,311,0,0,13,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRB_M_R,Cropland,39,109,21,104,40,0,96,1,0,0,0,0
