Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LDQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LDQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LDQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LDQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LDQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LDQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LDQ_M_R
55,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
56,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Built-up
57,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
66,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
68,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
72,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
76,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
81,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
83,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
84,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
85,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
86,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
90,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
99,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
102,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
105,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
106,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
107,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
108,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
109,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
110,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
111,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
112,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
113,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
114,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
115,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
116,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Grassland
117,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Wetland
118,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
119,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
120,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
121,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
122,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Wetland
123,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Forest
124,NULL,NULL,NULL,Water,Non_Wetland,Cropland,Wetland,Water
125,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
126,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Wetland
127,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Forest
128,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
129,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
130,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
131,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
133,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
135,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
137,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Water
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Built-up
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Bareland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Cropland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Built-up
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Bareland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Wetland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Built-up
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Water
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Bareland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Built-up
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Built-up
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Bareland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Grassland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Grassland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
292,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
293,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
294,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
295,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
296,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
297,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Water
298,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
299,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
300,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
301,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
302,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
303,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Grassland,Forest
304,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Water,Wetland
305,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
306,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
307,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
308,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
309,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
310,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland,Grassland
311,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland,Wetland
312,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Grassland,Grassland
313,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
314,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
315,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Cropland
316,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Wetland
317,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
318,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
319,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
