Dataset,MajorityClass,Grassland,Bareland,Built-up,Forest,Wetland,Cropland,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_24LXM_M_R,Shrubland,154,22,20,78,26,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LXM_M_R,Non_Wetland,11,2,4,7,8,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LXM_M_R,Grassland,0,71,105,313,162,140,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LXM_M_R,Bareland,371,0,56,105,25,8,37,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LXM_M_R,Built-up,437,149,0,273,106,15,35,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LXM_M_R,Water,505,180,30,353,546,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LXM_M_R,Forest,1043,127,251,0,458,150,39,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LXM_M_R,Wetland,424,47,16,311,0,20,77,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LXM_M_R,Cropland,280,77,56,154,19,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LXM_M_R,Permanent_ice_and_snow,76,5,1,33,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LXM_M_R,Non_Wetland,4,2,2,3,15,0,1,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LXM_M_R,Shrubland,40,33,9,20,15,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LXM_M_R,Grassland,0,138,110,183,99,0,33,245,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LXM_M_R,Wetland,85,109,55,126,0,0,375,29,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LXM_M_R,Bareland,92,0,84,47,57,0,95,24,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LXM_M_R,Built-up,148,177,0,73,140,0,64,50,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LXM_M_R,Forest,580,406,202,0,415,0,200,612,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LXM_M_R,Water,94,186,113,108,173,0,0,67,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LXM_M_R,Cropland,220,59,29,107,56,0,14,88,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LXM_M_R,Permanent_ice_and_snow,8,40,1,2,21,0,8,11,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LXM_M_R,Wetland,0,0,0,0,0,0,65,0,1161,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LXM_M_R,Shrubland,0,0,0,0,0,0,0,0,67,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LXM_M_R,Grassland,0,0,0,0,55,0,3,0,455,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LXM_M_R,Forest,0,0,0,0,248,0,38,0,1277,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LXM_M_R,Bareland,0,0,0,0,82,0,24,0,104,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LXM_M_R,Built-up,0,0,0,0,74,0,4,0,312,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LXM_M_R,Water,0,0,0,0,326,0,0,0,402,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LXM_M_R,Cropland,0,0,0,0,0,0,0,0,125,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LXM_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,0,0,29,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LXM_M_R,Grassland,0,132,91,187,84,0,6,165,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LXM_M_R,Forest,794,395,199,0,480,0,82,305,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LXM_M_R,Non_Wetland,6,3,2,2,14,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LXM_M_R,Wetland,212,180,25,154,0,0,193,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LXM_M_R,Bareland,67,0,32,5,1,0,0,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LXM_M_R,Water,104,318,57,136,218,0,0,31,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LXM_M_R,Shrubland,60,21,13,18,28,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LXM_M_R,Built-up,269,295,0,38,96,0,7,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LXM_M_R,Cropland,197,90,38,113,52,0,0,73,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LXM_M_R,Permanent_ice_and_snow,12,55,0,2,3,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LXM_M_R,Grassland,0,0,0,0,0,0,76,0,0,47,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LXM_M_R,Wetland,0,0,0,0,0,0,322,0,0,203,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LXM_M_R,Bareland,0,0,0,0,0,0,188,0,0,64,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LXM_M_R,Shrubland,0,0,0,0,0,0,15,0,0,7,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LXM_M_R,Built-up,0,0,0,0,0,0,72,0,0,29,0,0
