Dataset,MajorityClass,Grassland,Forest,Cropland,Built-up,Water,Bareland,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23MPQ_M_R,Shrubland,190,86,35,63,5,36,25,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MPQ_M_R,Grassland,0,254,192,83,6,90,83,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MPQ_M_R,Non_Wetland,2,1,0,0,0,0,13,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MPQ_M_R,Bareland,280,108,116,36,15,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MPQ_M_R,Built-up,261,180,104,0,2,80,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MPQ_M_R,Water,695,319,36,8,0,135,246,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MPQ_M_R,Forest,1202,0,289,236,71,174,303,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MPQ_M_R,Cropland,509,304,0,117,1,88,16,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MPQ_M_R,Wetland,307,77,17,9,24,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MPQ_M_R,Lichens_and_Mosses,1,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MPQ_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MPQ_M_R,Non_Wetland,4,6,0,0,0,0,3,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MPQ_M_R,Shrubland,58,81,0,20,9,33,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MPQ_M_R,Grassland,0,427,0,68,45,137,5,244,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MPQ_M_R,Cropland,491,510,0,94,10,278,0,313,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MPQ_M_R,Wetland,109,324,0,2,161,38,0,61,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MPQ_M_R,Bareland,130,168,0,62,40,0,0,128,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MPQ_M_R,Built-up,151,162,0,0,15,128,0,184,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MPQ_M_R,Water,281,511,0,26,0,76,8,85,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MPQ_M_R,Forest,610,0,0,240,199,376,45,631,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MPQ_M_R,Lichens_and_Mosses,0,1,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MPQ_M_R,Permanent_ice_and_snow,0,3,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPQ_M_R,Grassland,0,252,115,88,55,289,8,211,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPQ_M_R,Non_Wetland,2,5,0,0,1,2,2,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPQ_M_R,Wetland,139,244,1,0,106,42,0,79,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPQ_M_R,Forest,822,0,124,199,238,769,143,699,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPQ_M_R,Bareland,114,27,35,39,7,0,0,36,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPQ_M_R,Water,199,387,0,4,0,170,69,62,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPQ_M_R,Built-up,192,86,0,0,7,264,0,130,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPQ_M_R,Shrubland,73,37,8,22,11,57,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPQ_M_R,Cropland,418,195,0,79,7,476,4,243,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPQ_M_R,Lichens_and_Mosses,1,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPQ_M_R,Permanent_ice_and_snow,1,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MPQ_M_R,Wetland,0,0,0,0,3,0,0,0,286,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MPQ_M_R,Grassland,0,0,0,0,7,0,57,0,267,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MPQ_M_R,Forest,0,0,0,0,60,0,302,0,777,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MPQ_M_R,Water,0,0,0,0,0,0,326,0,272,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MPQ_M_R,Shrubland,0,0,0,0,0,0,0,0,46,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MPQ_M_R,Cropland,0,0,0,0,0,0,17,0,60,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MPQ_M_R,Bareland,0,0,0,0,2,0,9,0,6,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MPQ_M_R,Built-up,0,0,0,0,0,0,14,0,5,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MPQ_M_R,Grassland,0,0,0,0,90,0,0,0,0,39,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MPQ_M_R,Water,0,0,0,0,0,0,0,0,0,293,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MPQ_M_R,Forest,0,0,0,0,212,0,0,0,0,130,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MPQ_M_R,Shrubland,0,0,0,0,6,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MPQ_M_R,Cropland,0,0,0,0,7,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MPQ_M_R,Wetland,0,0,0,0,70,0,0,0,0,75,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MPQ_M_R,Bareland,0,0,0,0,13,0,0,0,0,6,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MPQ_M_R,Built-up,0,0,0,0,6,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MPQ_M_R,Grassland,0,374,279,72,7,93,57,408,0,0,14,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MPQ_M_R,Built-up,111,148,173,0,0,26,14,201,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MPQ_M_R,Forest,561,0,491,256,60,208,302,734,0,0,19,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MPQ_M_R,Bareland,93,196,208,56,2,0,9,185,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MPQ_M_R,Cropland,251,367,0,74,0,9,17,361,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MPQ_M_R,Wetland,22,103,16,4,3,12,0,55,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MPQ_M_R,Water,107,328,142,29,0,105,326,272,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MPQ_M_R,Shrubland,21,34,22,13,0,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MPQ_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MPQ_M_R,Grassland,0,211,626,229,87,1,75,0,0,0,0,0
