Dataset,MajorityClass,Grassland,Wetland,Forest,Water,Bareland,Non_Wetland,Non_Water,Cropland,Built-up,Shrubland
AMAZON_EXTENSION_2024_WorldCover_2021_19NBC_M_R,Shrubland,2,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NBC_M_R,Grassland,0,4,7,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NBC_M_R,Cropland,4,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NBC_M_R,Wetland,15,0,14,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NBC_M_R,Bareland,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NBC_M_R,Built-up,7,0,4,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NBC_M_R,Water,25,5,22,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NBC_M_R,Forest,35,6,0,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NBC_M_R,Shrubland,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NBC_M_R,Grassland,0,4,0,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NBC_M_R,Forest,0,20,0,6,0,10,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NBC_M_R,Built-up,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NBC_M_R,Water,0,23,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NBC_M_R,Shrubland,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NBC_M_R,Grassland,0,0,0,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NBC_M_R,Water,0,0,0,0,0,0,21,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NBC_M_R,Forest,0,0,0,15,0,0,10,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NBC_M_R,Wetland,0,0,0,4,0,0,4,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NBC_M_R,Built-up,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NBC_M_R,Grassland,0,0,5,4,0,0,0,6,2,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NBC_M_R,Wetland,0,0,6,9,1,0,0,0,2,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NBC_M_R,Forest,0,4,0,15,0,0,0,3,7,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NBC_M_R,Water,0,4,10,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NBC_M_R,Built-up,3,1,1,0,1,0,0,0,0,5
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NBC_M_R,Water,14,23,12,0,2,0,0,2,0,3
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NBC_M_R,Forest,17,20,0,6,1,0,0,2,3,18
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NBC_M_R,Grassland,0,4,7,0,0,0,0,1,0,5
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NBC_M_R,Cropland,2,0,1,0,0,0,0,0,0,2
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NBC_M_R,Bareland,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NBC_M_R,Wetland,5,0,13,8,0,0,0,2,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NBC_M_R,Water,6,2,30,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NBC_M_R,Forest,4,1,0,7,0,0,0,1,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NBC_M_R,Grassland,0,1,6,0,1,0,0,1,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NBC_M_R,Built-up,0,0,1,0,0,0,0,0,0,0
