Dataset,MajorityClass,Cropland,Forest,Wetland,Built-up,Bareland,Grassland,Water,Non_Wetland,Shrubland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_24LZP_M_R,Grassland,106,127,184,13,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LZP_M_R,Non_Wetland,1,1,7,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LZP_M_R,Bareland,10,14,24,30,0,233,34,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LZP_M_R,Built-up,50,111,32,0,30,201,12,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LZP_M_R,Forest,129,0,277,25,3,374,18,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LZP_M_R,Cropland,0,154,67,72,21,320,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LZP_M_R,Wetland,40,112,0,7,6,224,31,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LZP_M_R,Non_Water,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LZP_M_R,Shrubland,4,6,7,2,0,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LZP_M_R,Water,49,162,187,2,43,189,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LZP_M_R,Permanent_ice_and_snow,0,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LZP_M_R,Non_Wetland,0,0,4,0,1,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LZP_M_R,Grassland,0,42,118,70,43,0,15,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LZP_M_R,Cropland,0,75,29,162,36,250,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LZP_M_R,Bareland,0,2,5,53,0,27,31,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LZP_M_R,Built-up,0,9,15,0,34,38,14,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LZP_M_R,Forest,0,0,295,122,34,184,77,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LZP_M_R,Shrubland,0,1,5,4,2,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LZP_M_R,Wetland,0,68,0,22,39,30,106,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LZP_M_R,Water,0,94,76,43,80,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LZP_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LZP_M_R,Wetland,0,0,0,0,0,0,9,432,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LZP_M_R,Grassland,0,0,34,0,0,0,0,336,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LZP_M_R,Forest,0,0,166,0,0,0,13,560,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LZP_M_R,Shrubland,0,0,0,0,0,0,0,12,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LZP_M_R,Cropland,0,0,14,0,0,0,1,119,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LZP_M_R,Water,0,0,203,0,0,0,0,157,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LZP_M_R,Bareland,0,0,51,0,0,0,11,32,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LZP_M_R,Built-up,0,0,25,0,0,0,0,51,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LZP_M_R,Non_Wetland,2,0,0,1,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LZP_M_R,Wetland,5,78,0,3,48,129,32,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LZP_M_R,Grassland,90,64,4,27,40,0,3,0,10,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LZP_M_R,Non_Water,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LZP_M_R,Shrubland,4,1,0,2,1,7,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LZP_M_R,Cropland,0,46,0,83,34,211,15,0,14,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LZP_M_R,Built-up,4,12,3,0,79,95,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LZP_M_R,Forest,105,0,103,36,35,341,44,0,9,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LZP_M_R,Bareland,9,0,0,4,0,18,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LZP_M_R,Water,26,89,86,4,125,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LZP_M_R,Grassland,0,0,0,0,0,0,13,0,0,4,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LZP_M_R,Cropland,0,0,0,0,0,0,28,0,0,10,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LZP_M_R,Bareland,0,0,0,0,0,0,125,0,0,50,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LZP_M_R,Wetland,0,0,0,0,0,0,50,0,0,92,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LZP_M_R,Water,0,0,0,0,0,0,0,0,0,223,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LZP_M_R,Built-up,0,0,0,0,0,0,25,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LZP_M_R,Forest,0,0,0,0,0,0,67,0,0,58,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LZP_M_R,Grassland,172,166,34,39,13,0,0,0,190,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LZP_M_R,Wetland,40,112,0,18,12,50,9,0,79,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LZP_M_R,Built-up,103,49,26,0,9,51,0,0,74,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LZP_M_R,Forest,154,0,166,95,23,211,13,0,235,0,0,0
