Dataset,MajorityClass,Forest,Wetland,Built-up,Bareland,Water,Grassland,Shrubland,Non_Wetland,Non_Water,Cropland,Lichens_and_Mosses
AMAZON_EXTENSION_2024_WorldCover_2021_20MPA_M_R,Grassland,139,15,11,6,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPA_M_R,Non_Wetland,12,0,0,0,0,10,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPA_M_R,Wetland,753,0,1,7,210,1025,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPA_M_R,Bareland,45,1,3,0,2,101,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPA_M_R,Non_Water,1,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPA_M_R,Water,592,340,2,16,0,917,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPA_M_R,Shrubland,18,0,3,0,0,22,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPA_M_R,Built-up,152,1,0,14,23,209,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPA_M_R,Forest,0,40,20,5,85,587,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPA_M_R,Cropland,43,0,0,1,0,55,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPA_M_R,Non_Wetland,2,15,0,2,2,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPA_M_R,Grassland,43,370,0,70,90,0,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPA_M_R,Bareland,8,38,0,0,13,19,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPA_M_R,Forest,0,867,24,244,393,328,9,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPA_M_R,Non_Water,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPA_M_R,Water,49,937,39,106,0,123,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPA_M_R,Shrubland,4,13,1,9,6,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPA_M_R,Cropland,11,41,0,16,11,20,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPA_M_R,Wetland,22,0,4,94,517,155,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPA_M_R,Built-up,8,119,0,108,46,44,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPA_M_R,Grassland,0,40,0,0,9,0,0,577,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPA_M_R,Wetland,0,0,0,0,89,0,0,1116,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPA_M_R,Forest,0,201,0,0,66,0,0,1341,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPA_M_R,Water,0,327,0,0,0,0,0,1081,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPA_M_R,Shrubland,0,0,0,0,0,0,0,27,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPA_M_R,Cropland,0,0,0,0,0,0,0,68,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPA_M_R,Bareland,0,1,0,0,0,0,0,65,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPA_M_R,Built-up,0,7,0,0,0,0,0,213,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPA_M_R,Non_Wetland,0,9,2,4,4,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPA_M_R,Wetland,28,0,33,143,535,243,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPA_M_R,Forest,0,727,57,315,224,504,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPA_M_R,Grassland,5,259,16,112,69,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPA_M_R,Non_Water,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPA_M_R,Water,41,862,13,178,0,134,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPA_M_R,Shrubland,0,14,7,11,2,7,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPA_M_R,Cropland,0,32,5,40,1,20,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPA_M_R,Bareland,0,23,1,0,11,15,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPA_M_R,Built-up,3,107,0,115,24,86,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPA_M_R,Grassland,0,0,0,0,219,0,0,0,26,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPA_M_R,Wetland,0,0,0,0,815,0,0,0,315,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPA_M_R,Shrubland,0,0,0,0,4,0,0,0,1,0,0
