Dataset,MajorityClass,Grassland,Wetland,Shrubland,Bareland,Water,Forest,Built-up,Cropland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGD_M_R,Non_Wetland,4,11,1,1,2,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGD_M_R,Grassland,0,558,25,232,111,129,112,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGD_M_R,Cropland,139,266,3,43,17,36,13,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGD_M_R,Wetland,301,0,5,294,833,137,65,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGD_M_R,Bareland,164,214,0,0,216,89,102,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGD_M_R,Built-up,182,129,0,269,102,89,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGD_M_R,Forest,584,956,13,494,470,0,177,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGD_M_R,Water,241,751,0,451,0,191,175,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGD_M_R,Shrubland,7,16,0,9,4,4,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGD_M_R,Permanent_ice_and_snow,0,3,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MGD_M_R,Non_Wetland,8,4,0,2,0,5,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MGD_M_R,Grassland,0,149,0,46,25,312,61,49,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MGD_M_R,Bareland,521,147,0,0,154,268,95,30,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MGD_M_R,Cropland,292,97,0,25,12,117,21,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MGD_M_R,Wetland,1171,0,0,141,479,536,61,114,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MGD_M_R,Built-up,445,50,0,152,109,327,0,14,0,0,0,0
