Dataset,MajorityClass,Forest,Water,Wetland,Bareland,Built-up,Cropland,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_18MYS_M_R,Grassland,393,79,9,93,64,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MYS_M_R,Non_Wetland,5,0,0,0,1,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MYS_M_R,Wetland,110,56,0,9,0,0,103,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MYS_M_R,Bareland,113,161,0,0,17,0,209,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MYS_M_R,Built-up,199,62,0,51,0,1,210,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MYS_M_R,Water,925,0,21,342,7,0,919,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MYS_M_R,Non_Water,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MYS_M_R,Shrubland,9,1,0,1,0,0,7,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MYS_M_R,Forest,0,371,4,110,59,0,793,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MYS_M_R,Cropland,117,5,2,9,6,0,102,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MYS_M_R,Lichens_and_Mosses,2,0,0,1,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MYS_M_R,Permanent_ice_and_snow,2,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MYS_M_R,Non_Wetland,2,0,8,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MYS_M_R,Grassland,109,211,184,349,90,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MYS_M_R,Bareland,42,198,59,0,39,0,202,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MYS_M_R,Built-up,26,34,29,137,0,0,105,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MYS_M_R,Water,306,0,520,392,155,0,773,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MYS_M_R,Forest,0,546,658,504,128,0,801,7,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MYS_M_R,Non_Water,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MYS_M_R,Shrubland,5,3,3,2,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MYS_M_R,Cropland,18,21,14,74,21,0,93,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MYS_M_R,Wetland,12,43,0,11,5,0,29,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MYS_M_R,Lichens_and_Mosses,0,1,1,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MYS_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYS_M_R,Grassland,0,63,30,0,0,0,0,0,461,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYS_M_R,Wetland,0,1,0,0,0,0,0,0,60,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYS_M_R,Forest,0,184,234,0,0,0,0,0,946,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYS_M_R,Shrubland,0,0,0,0,0,0,0,0,6,0,0,0
