Dataset,MajorityClass,Forest,Bareland,Built-up,Water,Wetland,Grassland,Shrubland,Cropland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20LQR_M_R,Grassland,86,11,13,5,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LQR_M_R,Shrubland,19,1,3,1,0,25,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LQR_M_R,Non_Wetland,4,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LQR_M_R,Wetland,80,2,0,29,0,105,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LQR_M_R,Bareland,71,0,12,34,0,188,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LQR_M_R,Water,225,33,0,0,18,162,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LQR_M_R,Cropland,11,0,1,0,0,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LQR_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LQR_M_R,Built-up,8,0,0,1,0,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LQR_M_R,Forest,0,7,17,129,4,268,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQR_M_R,Grassland,7,109,0,14,34,0,17,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQR_M_R,Non_Wetland,0,0,0,0,5,3,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQR_M_R,Forest,0,404,0,172,129,345,90,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQR_M_R,Bareland,0,0,0,6,1,15,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQR_M_R,Water,35,287,0,0,5,121,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQR_M_R,Shrubland,0,9,0,0,9,16,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQR_M_R,Cropland,0,13,0,0,0,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQR_M_R,Wetland,5,89,0,41,0,51,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQR_M_R,Lichens_and_Mosses,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQR_M_R,Built-up,0,27,0,0,0,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQR_M_R,Shrubland,7,8,0,0,8,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQR_M_R,Non_Wetland,1,0,0,0,4,2,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQR_M_R,Grassland,24,88,0,14,54,0,29,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQR_M_R,Bareland,4,0,0,20,28,22,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQR_M_R,Water,81,114,0,0,193,50,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQR_M_R,Forest,0,247,0,178,390,255,90,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQR_M_R,Cropland,3,3,0,0,1,14,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQR_M_R,Wetland,5,14,0,49,0,13,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQR_M_R,Lichens_and_Mosses,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQR_M_R,Built-up,4,18,0,1,3,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQR_M_R,Grassland,0,0,0,2,9,0,0,0,116,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQR_M_R,Wetland,0,0,0,1,0,0,0,0,51,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQR_M_R,Forest,0,0,0,53,131,0,0,0,476,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQR_M_R,Shrubland,0,0,0,0,0,0,0,0,17,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQR_M_R,Cropland,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQR_M_R,Bareland,0,0,0,18,17,0,0,0,62,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQR_M_R,Water,0,0,0,0,155,0,0,0,145,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQR_M_R,Built-up,0,0,0,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LQR_M_R,Grassland,0,0,0,19,0,0,0,0,0,11,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LQR_M_R,Bareland,0,0,0,100,0,0,0,0,0,35,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LQR_M_R,Shrubland,0,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LQR_M_R,Wetland,0,0,0,72,0,0,0,0,0,30,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LQR_M_R,Water,0,0,0,0,0,0,0,0,0,159,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LQR_M_R,Forest,0,0,0,158,0,0,0,0,0,134,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LQR_M_R,Built-up,0,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LQR_M_R,Grassland,56,25,31,2,9,0,59,59,0,0,7,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LQR_M_R,Bareland,22,0,69,18,17,27,82,51,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LQR_M_R,Forest,0,145,63,53,131,198,205,63,0,0,10,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LQR_M_R,Wetland,9,7,1,1,0,11,15,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LQR_M_R,Water,71,105,35,0,155,101,90,17,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LQR_M_R,Shrubland,1,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LQR_M_R,Cropland,1,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LQR_M_R,Built-up,0,0,0,0,0,0,1,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LQR_M_R,Grassland,38,0,24,29,18,0,0,61,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LQR_M_R,Bareland,37,0,23,63,31,0,0,15,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LQR_M_R,Forest,0,0,24,277,47,0,0,24,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LQR_M_R,Wetland,18,2,1,50,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LQR_M_R,Water,44,10,1,0,42,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LQR_M_R,Built-up,0,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LQR_M_R,Shrubland,2,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LQR_M_R,Cropland,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LQR_M_R,Forest,0,4,0,9,1,11,0,8,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LQR_M_R,Wetland,127,2,0,14,0,1,0,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LQR_M_R,Grassland,147,6,0,26,15,0,0,21,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LQR_M_R,Bareland,104,0,0,36,4,0,0,2,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LQR_M_R,Water,339,30,0,0,35,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LQR_M_R,Shrubland,12,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LQR_M_R,Built-up,6,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LQR_M_R,Cropland,1,0,0,0,0,0,0,0,0,0,0,0
