Dataset,MajorityClass,Grassland,Wetland,Bareland,Built-up,Forest,Water,Cropland,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_18NVG_M_R,Shrubland,3,3,3,1,3,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NVG_M_R,Grassland,0,12,37,13,40,18,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NVG_M_R,Cropland,54,0,17,10,25,8,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NVG_M_R,Wetland,101,0,22,1,63,71,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NVG_M_R,Bareland,112,0,0,9,62,63,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NVG_M_R,Built-up,18,0,10,0,16,8,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NVG_M_R,Water,195,13,112,10,142,0,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NVG_M_R,Forest,117,16,58,24,0,64,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NVG_M_R,Permanent_ice_and_snow,2,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NVG_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NVG_M_R,Grassland,0,13,0,0,0,8,0,65,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NVG_M_R,Forest,0,30,0,0,0,19,0,78,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NVG_M_R,Wetland,0,0,0,0,0,6,0,81,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NVG_M_R,Built-up,0,2,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NVG_M_R,Water,0,57,0,0,0,0,0,66,0,0,0
