Dataset,MajorityClass,Grassland,Bareland,Water,Forest,Cropland,Wetland,Shrubland,Built-up,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20NKK_M_R,Shrubland,2,1,1,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKK_M_R,Grassland,0,1,2,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKK_M_R,Cropland,6,4,2,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKK_M_R,Wetland,12,5,0,8,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKK_M_R,Water,36,21,0,31,3,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKK_M_R,Forest,38,22,18,0,1,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKK_M_R,Built-up,2,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKK_M_R,Bareland,4,0,2,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKK_M_R,Permanent_ice_and_snow,6,3,2,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NKK_M_R,Shrubland,1,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NKK_M_R,Grassland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NKK_M_R,Forest,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKK_M_R,Forest,24,8,11,0,9,20,34,3,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKK_M_R,Built-up,2,0,0,1,1,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKK_M_R,Water,11,4,0,21,4,19,11,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKK_M_R,Grassland,0,0,0,3,1,1,5,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKK_M_R,Cropland,4,0,0,4,0,0,7,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKK_M_R,Wetland,1,0,0,1,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKK_M_R,Bareland,3,0,1,3,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKK_M_R,Permanent_ice_and_snow,4,0,0,5,0,0,6,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKK_M_R,Forest,0,0,11,0,0,20,0,0,6,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKK_M_R,Grassland,0,0,0,0,0,1,0,0,1,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKK_M_R,Wetland,0,0,0,0,0,0,0,0,5,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKK_M_R,Bareland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKK_M_R,Water,0,0,0,0,0,19,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKK_M_R,Grassland,0,0,1,12,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKK_M_R,Forest,0,2,20,0,0,0,0,4,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKK_M_R,Wetland,0,0,5,10,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKK_M_R,Water,0,0,0,28,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKK_M_R,Cropland,0,0,0,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKK_M_R,Bareland,0,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKK_M_R,Permanent_ice_and_snow,0,0,2,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NKK_M_R,Grassland,0,0,0,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NKK_M_R,Wetland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NKK_M_R,Forest,0,0,16,0,0,0,0,0,0,6,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NKK_M_R,Water,0,0,0,0,0,0,0,0,0,16,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NKK_M_R,Wetland,2,1,8,6,3,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NKK_M_R,Forest,8,11,22,0,12,4,0,0,0,0,15
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NKK_M_R,Grassland,0,2,2,1,2,1,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NKK_M_R,Water,0,4,0,24,2,0,0,0,0,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NKK_M_R,Bareland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NKK_M_R,Forest,0,0,1,0,0,0,0,0,0,0,0
