Dataset,MajorityClass,Grassland,Built-up,Forest,Water,Wetland,Bareland,Non_Water,Shrubland,Cropland,Non_Wetland
AMAZON_EXTENSION_2024_WorldCover_2021_18NYG_M_R,Shrubland,1,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NYG_M_R,Grassland,0,2,8,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NYG_M_R,Cropland,10,0,8,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NYG_M_R,Wetland,32,0,13,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NYG_M_R,Built-up,5,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NYG_M_R,Forest,36,3,0,11,2,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NYG_M_R,Water,35,0,21,0,0,7,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NYG_M_R,Bareland,1,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NYG_M_R,Grassland,0,0,0,5,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NYG_M_R,Wetland,0,0,0,14,0,0,6,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NYG_M_R,Built-up,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NYG_M_R,Water,0,0,0,0,0,0,28,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NYG_M_R,Bareland,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NYG_M_R,Forest,0,0,0,19,0,0,11,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NYG_M_R,Cropland,7,1,6,0,0,0,0,8,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NYG_M_R,Water,15,8,19,0,30,0,0,7,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NYG_M_R,Built-up,3,0,2,0,0,0,0,4,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NYG_M_R,Forest,27,7,0,7,19,0,0,20,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NYG_M_R,Grassland,0,1,5,0,3,0,0,7,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NYG_M_R,Wetland,2,0,2,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NYG_M_R,Bareland,1,0,1,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NYG_M_R,Grassland,0,7,7,8,0,2,0,0,7,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NYG_M_R,Forest,0,6,0,19,7,0,0,0,9,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NYG_M_R,Wetland,0,4,2,13,0,3,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NYG_M_R,Water,0,1,15,0,7,4,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NYG_M_R,Cropland,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NYG_M_R,Bareland,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NYG_M_R,Water,0,0,0,0,30,0,0,0,0,2
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NYG_M_R,Forest,0,0,0,7,19,0,0,0,0,8
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NYG_M_R,Grassland,0,0,0,0,3,0,0,0,0,3
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NYG_M_R,Wetland,0,0,0,1,0,0,0,0,0,4
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NYG_M_R,Bareland,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NYG_M_R,Wetland,2,0,13,6,0,1,0,0,2,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NYG_M_R,Water,1,0,26,0,4,5,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NYG_M_R,Forest,5,0,0,5,0,1,0,0,4,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NYG_M_R,Grassland,0,0,8,2,3,0,0,0,3,0
