Dataset,MajorityClass,Grassland,Wetland,Bareland,Water,Forest,Built-up,Non_Wetland,Non_Water,Shrubland,Cropland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21NUE_M_R,Shrubland,3,2,2,2,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NUE_M_R,Grassland,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NUE_M_R,Cropland,3,0,1,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NUE_M_R,Wetland,68,0,32,42,51,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NUE_M_R,Built-up,6,0,3,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NUE_M_R,Water,66,32,31,0,65,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NUE_M_R,Forest,49,14,6,24,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NUE_M_R,Bareland,11,0,0,4,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NUE_M_R,Permanent_ice_and_snow,6,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NUE_M_R,Shrubland,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NUE_M_R,Grassland,0,2,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NUE_M_R,Forest,0,33,0,12,0,0,44,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NUE_M_R,Wetland,0,0,0,10,0,0,66,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NUE_M_R,Water,0,49,0,0,0,0,40,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NUE_M_R,Bareland,0,3,0,1,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NUE_M_R,Shrubland,0,0,0,4,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NUE_M_R,Wetland,0,0,0,62,0,0,0,37,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NUE_M_R,Built-up,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NUE_M_R,Water,0,0,0,0,0,0,0,78,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NUE_M_R,Forest,0,0,0,40,0,0,0,28,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NUE_M_R,Bareland,0,0,0,4,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NUE_M_R,Grassland,0,0,0,1,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NUE_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NUE_M_R,Water,1,49,0,0,51,8,0,0,68,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NUE_M_R,Wetland,0,0,0,10,19,9,0,0,38,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NUE_M_R,Bareland,0,3,0,1,5,1,0,0,12,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NUE_M_R,Built-up,5,0,0,0,2,0,0,0,8,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NUE_M_R,Forest,3,33,2,12,0,4,0,0,57,8,0
