Dataset,MajorityClass,Grassland,Forest,Cropland,Wetland,Bareland,Built-up,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses
AMAZON_EXTENSION_2024_WorldCover_2021_23MNQ_M_R,Shrubland,48,40,11,17,7,14,4,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MNQ_M_R,Grassland,0,412,143,231,97,113,43,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MNQ_M_R,Non_Wetland,0,1,0,10,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MNQ_M_R,Bareland,177,69,42,6,0,33,13,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MNQ_M_R,Built-up,260,201,70,17,81,0,16,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MNQ_M_R,Water,998,705,51,639,119,41,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MNQ_M_R,Forest,1207,0,130,418,114,183,112,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MNQ_M_R,Cropland,274,211,0,16,56,73,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MNQ_M_R,Wetland,561,261,40,0,15,23,54,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MNQ_M_R,Lichens_and_Mosses,0,1,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MNQ_M_R,Non_Wetland,5,3,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MNQ_M_R,Shrubland,37,36,0,0,6,11,8,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MNQ_M_R,Grassland,0,509,0,26,49,111,97,82,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MNQ_M_R,Cropland,356,265,0,0,44,58,2,16,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MNQ_M_R,Bareland,75,89,0,0,0,29,25,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MNQ_M_R,Built-up,177,124,0,0,99,0,18,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MNQ_M_R,Water,612,762,0,60,9,114,0,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MNQ_M_R,Forest,796,0,0,70,107,238,266,130,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MNQ_M_R,Wetland,331,451,0,0,6,17,215,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MNQ_M_R,Grassland,0,257,67,85,263,83,102,69,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MNQ_M_R,Forest,1037,0,40,204,536,149,270,155,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MNQ_M_R,Non_Wetland,3,2,0,0,2,0,1,0,0,0,0
