Dataset,MajorityClass,Grassland,Cropland,Forest,Wetland,Built-up,Bareland,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21LVC_M_R,Shrubland,188,39,152,107,35,27,16,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVC_M_R,Non_Wetland,13,4,13,17,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVC_M_R,Grassland,0,128,410,345,71,71,71,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVC_M_R,Bareland,158,32,101,19,29,0,18,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVC_M_R,Water,733,52,847,1006,16,105,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVC_M_R,Forest,723,132,0,781,107,56,261,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVC_M_R,Cropland,485,0,406,185,79,81,25,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVC_M_R,Wetland,527,25,781,0,15,17,231,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVC_M_R,Built-up,147,26,159,62,0,34,16,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVC_M_R,Non_Water,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVC_M_R,Lichens_and_Mosses,4,0,4,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVC_M_R,Permanent_ice_and_snow,1,0,0,1,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVC_M_R,Non_Wetland,10,0,5,20,0,0,7,7,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVC_M_R,Shrubland,91,0,27,70,1,25,22,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVC_M_R,Grassland,0,0,112,284,20,39,129,173,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVC_M_R,Cropland,606,0,146,164,43,124,61,290,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVC_M_R,Wetland,923,0,177,0,3,4,686,308,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVC_M_R,Bareland,188,0,11,23,8,0,44,68,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVC_M_R,Built-up,165,0,15,19,0,43,26,59,0,0,0,0
