Dataset,MajorityClass,Wetland,Water,Bareland,Forest,Grassland,Shrubland,Built-up,Cropland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NDB_M_R,Non_Wetland,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NDB_M_R,Grassland,48,23,9,10,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NDB_M_R,Shrubland,5,2,0,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NDB_M_R,Forest,199,149,22,0,245,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NDB_M_R,Wetland,0,53,0,7,22,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NDB_M_R,Bareland,1,2,0,0,29,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NDB_M_R,Built-up,13,7,18,3,51,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NDB_M_R,Water,102,0,18,69,87,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NDB_M_R,Cropland,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NDB_M_R,Permanent_ice_and_snow,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NDB_M_R,Non_Wetland,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NDB_M_R,Water,151,0,0,52,25,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NDB_M_R,Grassland,60,27,0,44,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NDB_M_R,Shrubland,3,2,0,2,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NDB_M_R,Bareland,17,8,0,9,21,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NDB_M_R,Forest,242,134,4,0,113,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NDB_M_R,Wetland,0,34,0,6,15,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NDB_M_R,Built-up,30,13,0,16,20,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NDB_M_R,Cropland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NDB_M_R,Permanent_ice_and_snow,1,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NDB_M_R,Non_Wetland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NDB_M_R,Water,20,0,6,193,139,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NDB_M_R,Shrubland,0,0,2,6,5,0,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NDB_M_R,Grassland,0,5,10,54,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NDB_M_R,Wetland,0,37,0,63,94,0,0,0,0,0,0
