Dataset,MajorityClass,Forest,Cropland,Bareland,Built-up,Wetland,Grassland,Water,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21LZH_M_R,Grassland,157,104,6,13,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZH_M_R,Non_Wetland,5,1,0,0,0,7,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZH_M_R,Cropland,201,0,47,48,0,303,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZH_M_R,Wetland,232,21,5,1,0,422,114,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZH_M_R,Bareland,27,16,0,5,0,64,12,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZH_M_R,Built-up,57,27,14,0,0,90,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZH_M_R,Water,326,14,31,1,106,325,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZH_M_R,Forest,0,149,12,55,19,478,42,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZH_M_R,Shrubland,16,11,0,3,0,23,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZH_M_R,Non_Wetland,1,0,0,0,10,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZH_M_R,Grassland,83,0,46,15,195,0,15,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZH_M_R,Cropland,131,0,55,46,125,317,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZH_M_R,Bareland,6,0,0,4,27,36,16,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZH_M_R,Built-up,23,0,52,0,18,39,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZH_M_R,Forest,0,0,97,26,602,457,160,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZH_M_R,Water,25,0,5,0,460,90,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZH_M_R,Shrubland,7,0,4,6,15,12,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZH_M_R,Wetland,1,0,1,0,0,43,177,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZH_M_R,Non_Wetland,0,1,1,1,4,2,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZH_M_R,Wetland,10,19,4,3,0,255,182,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZH_M_R,Forest,0,124,289,112,346,481,160,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZH_M_R,Grassland,51,70,122,21,84,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZH_M_R,Water,29,9,39,2,263,213,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZH_M_R,Shrubland,2,7,14,6,9,12,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZH_M_R,Cropland,25,0,246,48,72,254,26,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZH_M_R,Built-up,2,8,77,0,1,49,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZH_M_R,Bareland,0,9,0,12,2,39,22,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZH_M_R,Grassland,0,0,0,0,27,0,10,255,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZH_M_R,Wetland,0,0,0,0,0,0,32,299,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZH_M_R,Forest,0,0,0,0,115,0,98,782,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZH_M_R,Water,0,0,0,0,254,0,0,275,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZH_M_R,Shrubland,0,0,0,0,0,0,0,24,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZH_M_R,Cropland,0,0,0,0,10,0,3,194,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZH_M_R,Bareland,0,0,0,0,23,0,2,26,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZH_M_R,Built-up,0,0,0,0,2,0,2,19,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZH_M_R,Grassland,0,0,0,0,0,0,32,0,7,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZH_M_R,Wetland,0,0,0,0,0,0,288,0,184,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZH_M_R,Shrubland,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZH_M_R,Water,0,0,0,0,0,0,0,0,233,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZH_M_R,Forest,0,0,0,0,0,0,134,0,72,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZH_M_R,Built-up,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZH_M_R,Bareland,0,0,0,0,0,0,17,0,14,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZH_M_R,Cropland,0,0,0,0,0,0,15,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZH_M_R,Grassland,146,145,3,16,27,0,10,0,0,260,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZH_M_R,Wetland,90,17,3,0,0,4,32,0,0,102,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZH_M_R,Forest,0,231,55,26,115,131,98,0,0,383,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZH_M_R,Cropland,135,0,7,13,10,74,3,0,0,194,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZH_M_R,Bareland,18,65,0,7,23,1,2,0,0,44,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZH_M_R,Built-up,12,62,2,0,2,3,2,0,0,64,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZH_M_R,Water,165,62,20,0,254,2,0,0,0,135,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZH_M_R,Grassland,89,323,7,83,18,0,20,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZH_M_R,Forest,0,277,3,130,105,0,189,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZH_M_R,Bareland,3,34,0,40,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZH_M_R,Built-up,0,11,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZH_M_R,Water,60,58,64,9,124,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZH_M_R,Wetland,99,28,42,7,0,0,135,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZH_M_R,Cropland,59,0,4,56,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LZH_M_R,Cropland,104,0,70,0,0,63,7,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LZH_M_R,Forest,0,106,20,0,1,51,19,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LZH_M_R,Wetland,415,52,66,0,0,69,132,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LZH_M_R,Water,372,14,102,0,18,11,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LZH_M_R,Grassland,158,89,72,0,1,0,23,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LZH_M_R,Bareland,8,8,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LZH_M_R,Built-up,35,20,5,0,0,0,0,0,0,0,0
