Dataset,MajorityClass,Forest,Built-up,Wetland,Bareland,Grassland,Water,Non_Wetland,Cropland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21MWU_M_R,Grassland,152,13,13,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWU_M_R,Non_Wetland,10,0,0,0,12,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWU_M_R,Wetland,646,2,0,5,867,152,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWU_M_R,Bareland,121,14,9,0,269,74,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWU_M_R,Forest,0,59,73,19,531,94,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWU_M_R,Non_Water,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWU_M_R,Water,640,1,368,21,589,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWU_M_R,Shrubland,17,4,2,0,26,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWU_M_R,Built-up,94,0,0,8,102,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWU_M_R,Cropland,10,5,0,0,24,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWU_M_R,Permanent_ice_and_snow,1,0,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWU_M_R,Non_Wetland,1,0,13,3,1,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWU_M_R,Grassland,65,3,192,100,0,52,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWU_M_R,Bareland,24,0,28,0,24,41,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWU_M_R,Forest,0,20,643,366,393,405,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWU_M_R,Non_Water,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWU_M_R,Water,197,0,549,170,150,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWU_M_R,Shrubland,10,0,14,11,5,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWU_M_R,Wetland,118,0,0,110,240,466,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWU_M_R,Built-up,26,0,45,100,28,31,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWU_M_R,Cropland,8,0,8,3,15,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWU_M_R,Permanent_ice_and_snow,0,0,1,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWU_M_R,Grassland,0,0,36,0,0,6,405,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWU_M_R,Wetland,0,0,0,0,0,76,797,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWU_M_R,Forest,0,0,272,0,0,104,1283,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWU_M_R,Water,0,0,365,0,0,0,743,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWU_M_R,Shrubland,0,0,0,0,0,0,28,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWU_M_R,Bareland,0,0,42,0,0,33,110,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWU_M_R,Built-up,0,0,6,0,0,0,81,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWU_M_R,Cropland,0,0,0,0,0,0,13,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWU_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWU_M_R,Non_Wetland,0,0,9,4,2,3,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWU_M_R,Forest,0,46,654,515,464,261,0,7,0,0,0,0
