Dataset,MajorityClass,Forest,Bareland,Wetland,Grassland,Water,Cropland,Built-up,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NBF_M_R,Grassland,12,17,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NBF_M_R,Non_Wetland,1,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NBF_M_R,Bareland,3,0,0,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NBF_M_R,Water,119,46,186,18,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NBF_M_R,Shrubland,5,1,1,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NBF_M_R,Wetland,17,7,0,4,56,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NBF_M_R,Forest,0,140,191,38,133,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NBF_M_R,Cropland,2,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NBF_M_R,Forest,0,169,63,74,169,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NBF_M_R,Non_Wetland,0,0,1,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NBF_M_R,Shrubland,0,3,2,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NBF_M_R,Grassland,0,19,3,0,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NBF_M_R,Water,43,53,27,6,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NBF_M_R,Wetland,9,18,0,1,112,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NBF_M_R,Bareland,0,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NBF_M_R,Cropland,0,1,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NBF_M_R,Non_Wetland,1,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NBF_M_R,Bareland,14,0,0,22,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NBF_M_R,Water,247,108,10,85,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NBF_M_R,Shrubland,2,0,0,7,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NBF_M_R,Grassland,5,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NBF_M_R,Wetland,75,33,0,37,31,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NBF_M_R,Forest,0,22,2,122,61,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NBF_M_R,Cropland,1,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NBF_M_R,Forest,0,0,105,0,53,0,0,263,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NBF_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NBF_M_R,Water,0,0,150,0,0,0,0,140,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NBF_M_R,Grassland,0,0,1,0,1,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NBF_M_R,Bareland,0,0,2,0,1,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NBF_M_R,Wetland,0,0,0,0,0,0,0,19,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NBF_M_R,Cropland,0,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NBF_M_R,Forest,0,0,0,0,131,0,0,0,65,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NBF_M_R,Shrubland,0,0,0,0,1,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NBF_M_R,Bareland,0,0,0,0,5,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NBF_M_R,Wetland,0,0,0,0,43,0,0,0,44,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NBF_M_R,Water,0,0,0,0,0,0,0,0,129,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NBF_M_R,Grassland,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NBF_M_R,Grassland,7,2,1,0,1,0,1,0,0,13,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NBF_M_R,Forest,0,42,105,61,53,1,64,0,0,112,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NBF_M_R,Bareland,14,0,2,6,1,0,0,0,0,23,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NBF_M_R,Water,142,26,150,10,0,0,22,0,0,72,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NBF_M_R,Wetland,4,0,0,0,0,0,0,0,0,14,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NBF_M_R,Cropland,0,0,0,0,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NBF_M_R,Forest,0,0,101,0,190,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NBF_M_R,Water,15,10,133,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NBF_M_R,Grassland,12,0,0,0,0,0,1,0,0,0,0,0
