Dataset,MajorityClass,Grassland,Wetland,Bareland,Built-up,Forest,Water,Cropland,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19LGH_M_R,Shrubland,3,2,3,1,2,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LGH_M_R,Grassland,0,23,6,3,15,6,6,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LGH_M_R,Cropland,27,4,3,5,11,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LGH_M_R,Wetland,93,0,23,1,52,54,10,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LGH_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LGH_M_R,Bareland,23,9,0,2,11,24,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LGH_M_R,Built-up,9,0,6,0,6,2,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LGH_M_R,Water,77,80,46,1,74,0,17,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LGH_M_R,Forest,93,61,49,15,0,47,23,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LGH_M_R,Permanent_ice_and_snow,8,0,0,0,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LGH_M_R,Shrubland,0,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LGH_M_R,Grassland,0,9,0,0,0,5,0,43,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LGH_M_R,Bareland,0,24,0,0,0,7,0,9,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LGH_M_R,Forest,0,40,0,0,0,18,0,108,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LGH_M_R,Wetland,0,0,0,0,0,10,0,84,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LGH_M_R,Built-up,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LGH_M_R,Water,0,62,0,0,0,0,0,45,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LGH_M_R,Cropland,0,2,0,0,0,0,0,6,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LGH_M_R,Shrubland,0,0,0,0,0,2,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LGH_M_R,Grassland,0,0,0,0,0,28,0,0,11,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LGH_M_R,Cropland,0,0,0,0,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LGH_M_R,Wetland,0,0,0,0,0,118,0,0,52,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LGH_M_R,Bareland,0,0,0,0,0,41,0,0,26,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LGH_M_R,Built-up,0,0,0,0,0,3,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LGH_M_R,Water,0,0,0,0,0,0,0,0,116,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LGH_M_R,Forest,0,0,0,0,0,111,0,0,50,0,0,0
