Dataset,MajorityClass,Grassland,Bareland,Forest,Water,Wetland,Built-up,Non_Water,Non_Wetland,Shrubland,Cropland,Lichens_and_Mosses
AMAZON_EXTENSION_2024_WorldCover_2021_18MYA_M_R,Shrubland,3,1,2,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MYA_M_R,Grassland,0,0,12,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MYA_M_R,Cropland,20,0,8,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MYA_M_R,Wetland,46,1,25,30,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MYA_M_R,Bareland,12,0,11,4,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MYA_M_R,Built-up,11,3,7,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MYA_M_R,Water,91,10,65,0,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MYA_M_R,Forest,87,2,0,35,7,6,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYA_M_R,Shrubland,0,0,0,2,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYA_M_R,Wetland,0,0,0,48,0,0,22,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYA_M_R,Bareland,0,0,0,3,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYA_M_R,Water,0,0,0,0,0,0,103,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYA_M_R,Built-up,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYA_M_R,Forest,0,0,0,58,0,0,46,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYA_M_R,Grassland,0,0,0,15,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYA_M_R,Cropland,0,0,0,7,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYA_M_R,Shrubland,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYA_M_R,Bareland,0,0,0,3,7,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYA_M_R,Wetland,0,0,0,0,0,0,0,11,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYA_M_R,Grassland,0,0,0,4,7,0,0,11,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYA_M_R,Forest,0,0,0,15,28,0,0,48,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYA_M_R,Built-up,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYA_M_R,Water,0,0,0,0,40,0,0,16,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYA_M_R,Cropland,0,0,0,0,2,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYA_M_R,Water,16,24,23,0,40,12,0,0,46,10,7
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYA_M_R,Cropland,0,4,3,0,2,1,0,0,14,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYA_M_R,Wetland,1,2,0,0,0,0,0,0,5,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYA_M_R,Bareland,3,0,3,3,7,1,0,0,8,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYA_M_R,Built-up,3,1,3,1,0,0,0,0,8,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYA_M_R,Forest,26,34,0,15,28,28,0,0,57,25,12
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYA_M_R,Grassland,0,4,5,4,7,1,0,0,15,3,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYA_M_R,Water,0,16,43,0,34,17,0,0,0,4,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYA_M_R,Grassland,0,0,22,4,9,7,0,0,0,1,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYA_M_R,Forest,0,2,0,40,38,24,0,0,0,11,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYA_M_R,Wetland,0,5,18,8,0,5,0,0,0,5,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYA_M_R,Cropland,0,0,5,0,2,2,0,0,0,0,0
