Dataset,MajorityClass,Grassland,Cropland,Forest,Built-up,Bareland,Water,Wetland,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22KFG_M_R,Shrubland,209,60,133,58,20,12,37,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFG_M_R,Grassland,0,261,281,104,70,88,76,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFG_M_R,Non_Wetland,12,3,10,1,0,1,4,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFG_M_R,Bareland,242,87,173,148,0,55,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFG_M_R,Built-up,526,273,401,0,171,102,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFG_M_R,Water,1286,317,1052,97,213,0,292,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFG_M_R,Forest,1398,492,0,383,172,455,180,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFG_M_R,Cropland,839,0,584,318,219,135,37,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFG_M_R,Wetland,327,22,211,5,7,94,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFG_M_R,Non_Water,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFG_M_R,Permanent_ice_and_snow,3,1,10,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFG_M_R,Non_Wetland,4,0,4,2,0,3,16,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFG_M_R,Shrubland,73,0,36,25,28,27,70,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFG_M_R,Grassland,0,0,228,99,82,145,234,123,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFG_M_R,Cropland,785,0,480,292,290,182,329,343,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFG_M_R,Bareland,186,0,52,76,0,87,9,26,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFG_M_R,Built-up,266,0,192,0,251,87,144,190,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFG_M_R,Forest,824,0,0,328,386,539,864,583,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFG_M_R,Non_Water,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFG_M_R,Wetland,65,0,47,10,32,232,0,10,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFG_M_R,Water,646,0,506,246,177,0,468,151,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFG_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFG_M_R,Wetland,0,0,0,0,0,48,0,0,829,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFG_M_R,Grassland,0,0,0,0,0,66,47,0,509,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFG_M_R,Forest,0,0,0,0,0,256,156,0,1813,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFG_M_R,Water,0,0,0,0,0,0,361,0,965,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFG_M_R,Shrubland,0,0,0,0,0,0,0,0,143,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFG_M_R,Cropland,0,0,0,0,0,33,28,0,579,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFG_M_R,Built-up,0,0,0,0,0,44,21,0,262,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFG_M_R,Bareland,0,0,0,0,0,50,4,0,14,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFG_M_R,Grassland,0,101,136,80,248,5,214,145,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFG_M_R,Non_Wetland,4,1,2,0,3,0,17,5,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFG_M_R,Wetland,73,1,17,2,181,30,0,22,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFG_M_R,Forest,763,237,0,303,1056,99,1044,577,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFG_M_R,Built-up,309,40,118,0,423,1,123,101,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFG_M_R,Water,408,30,417,182,1496,0,931,198,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFG_M_R,Non_Water,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFG_M_R,Shrubland,73,14,25,24,71,1,48,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFG_M_R,Bareland,112,27,15,54,0,0,4,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFG_M_R,Cropland,742,0,247,364,562,3,233,187,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFG_M_R,Permanent_ice_and_snow,3,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFG_M_R,Grassland,0,0,0,0,0,201,0,0,0,73,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFG_M_R,Wetland,0,0,0,0,0,163,0,0,0,150,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFG_M_R,Forest,0,0,0,0,0,484,0,0,0,301,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFG_M_R,Shrubland,0,0,0,0,0,16,0,0,0,10,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFG_M_R,Water,0,0,0,0,0,0,0,0,0,699,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFG_M_R,Cropland,0,0,0,0,0,153,0,0,0,49,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFG_M_R,Bareland,0,0,0,0,0,58,0,0,0,23,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFG_M_R,Built-up,0,0,0,0,0,50,0,0,0,28,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFG_M_R,Grassland,0,748,343,223,30,66,47,729,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFG_M_R,Wetland,0,144,166,13,3,48,0,297,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFG_M_R,Bareland,0,359,73,308,0,50,4,245,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFG_M_R,Built-up,1,458,216,0,1,44,21,446,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFG_M_R,Water,2,978,503,217,145,0,361,884,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFG_M_R,Forest,35,1298,0,481,69,256,156,1391,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFG_M_R,Cropland,8,0,348,250,9,33,28,676,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFG_M_R,Shrubland,0,18,11,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFG_M_R,Permanent_ice_and_snow,0,6,0,0,0,0,0,4,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFG_M_R,Grassland,0,801,223,294,7,172,19,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFG_M_R,Wetland,0,353,119,41,0,190,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFG_M_R,Bareland,0,208,34,262,0,54,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFG_M_R,Water,0,713,165,344,12,0,45,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFG_M_R,Forest,0,1114,0,969,1,704,70,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFG_M_R,Shrubland,0,137,41,86,0,19,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFG_M_R,Built-up,0,156,40,0,16,23,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFG_M_R,Cropland,0,0,132,345,9,41,7,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFG_M_R,Permanent_ice_and_snow,0,5,0,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFG_M_R,Wetland,61,11,301,0,1,172,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFG_M_R,Forest,262,175,0,0,120,211,36,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFG_M_R,Shrubland,39,35,144,0,15,24,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFG_M_R,Cropland,267,0,378,0,206,146,20,0,0,0,13
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFG_M_R,Water,96,34,790,0,28,0,136,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFG_M_R,Bareland,18,28,81,0,0,47,0,0,0,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFG_M_R,Built-up,123,303,431,0,197,110,0,0,0,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFG_M_R,Grassland,0,111,239,0,85,117,14,0,0,0,12
