Dataset,MajorityClass,Forest,Built-up,Wetland,Water,Bareland,Grassland,Non_Wetland,Shrubland,Non_Water,Cropland,Lichens_and_Mosses
AMAZON_EXTENSION_2024_WorldCover_2021_19MGQ_M_R,Grassland,127,29,15,11,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MGQ_M_R,Non_Wetland,3,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MGQ_M_R,Wetland,206,0,0,141,1,418,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MGQ_M_R,Bareland,31,1,0,2,0,41,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MGQ_M_R,Water,312,0,51,0,11,520,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MGQ_M_R,Shrubland,4,0,0,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MGQ_M_R,Built-up,90,0,0,6,5,101,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MGQ_M_R,Cropland,16,3,0,0,1,15,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MGQ_M_R,Forest,0,19,3,138,6,377,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGQ_M_R,Grassland,0,0,24,25,0,0,377,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGQ_M_R,Wetland,0,0,0,30,0,0,262,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGQ_M_R,Forest,0,0,154,80,0,0,824,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGQ_M_R,Water,0,0,269,0,0,0,379,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGQ_M_R,Shrubland,0,0,0,0,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGQ_M_R,Cropland,0,0,0,0,0,0,13,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGQ_M_R,Bareland,0,0,8,2,0,0,10,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGQ_M_R,Built-up,0,0,0,10,0,0,61,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGQ_M_R,Grassland,66,30,268,63,114,0,0,18,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGQ_M_R,Non_Wetland,1,0,2,0,0,1,0,0,0,0,0
