Dataset,MajorityClass,Grassland,Forest,Water,Bareland,Wetland,Non_Water,Built-up,Shrubland,Non_Wetland,Cropland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21NVD_M_R,Shrubland,3,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NVD_M_R,Cropland,2,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NVD_M_R,Wetland,30,30,32,28,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NVD_M_R,Water,47,49,0,39,14,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NVD_M_R,Forest,23,0,18,3,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NVD_M_R,Bareland,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NVD_M_R,Built-up,2,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NVD_M_R,Shrubland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NVD_M_R,Wetland,0,0,35,0,0,21,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NVD_M_R,Water,0,0,0,0,0,52,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NVD_M_R,Bareland,0,0,1,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NVD_M_R,Forest,0,0,19,0,0,14,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NVD_M_R,Water,0,8,0,14,50,0,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NVD_M_R,Wetland,0,1,25,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NVD_M_R,Forest,0,0,21,0,19,0,6,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NVD_M_R,Grassland,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NVD_M_R,Cropland,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NVD_M_R,Bareland,0,0,1,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NVD_M_R,Built-up,0,2,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NVD_M_R,Water,0,30,0,0,29,0,0,38,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NVD_M_R,Forest,1,0,7,3,17,0,1,23,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NVD_M_R,Grassland,0,0,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NVD_M_R,Cropland,0,0,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NVD_M_R,Wetland,0,21,10,0,0,0,0,20,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NVD_M_R,Water,0,0,0,0,29,0,0,0,26,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NVD_M_R,Wetland,0,0,10,0,0,0,0,0,41,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NVD_M_R,Forest,0,0,7,0,17,0,0,0,24,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NVD_M_R,Bareland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NVD_M_R,Forest,3,0,9,1,3,0,0,0,0,1,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NVD_M_R,Water,2,44,0,1,46,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NVD_M_R,Bareland,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NVD_M_R,Wetland,0,24,17,1,0,0,0,0,0,0,0
