Dataset,MajorityClass,Forest,Wetland,Bareland,Water,Built-up,Grassland,Non_Wetland,Shrubland,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGV_M_R,Grassland,17,17,6,11,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGV_M_R,Non_Wetland,1,2,0,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGV_M_R,Bareland,10,20,0,46,6,15,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGV_M_R,Water,25,70,29,0,1,55,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGV_M_R,Forest,0,138,75,89,28,126,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGV_M_R,Shrubland,5,2,1,2,1,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGV_M_R,Cropland,10,4,2,0,2,8,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGV_M_R,Wetland,4,0,14,47,0,15,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGV_M_R,Lichens_and_Mosses,1,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGV_M_R,Built-up,17,31,32,27,0,28,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGV_M_R,Permanent_ice_and_snow,0,0,0,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGV_M_R,Non_Wetland,1,3,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGV_M_R,Shrubland,1,3,6,3,2,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGV_M_R,Grassland,2,27,51,3,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGV_M_R,Cropland,0,5,16,2,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGV_M_R,Wetland,9,0,32,27,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGV_M_R,Lichens_and_Mosses,0,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGV_M_R,Bareland,0,19,0,10,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGV_M_R,Built-up,5,34,60,12,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGV_M_R,Water,13,99,93,0,20,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGV_M_R,Forest,0,126,190,56,49,42,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGV_M_R,Permanent_ice_and_snow,0,2,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGV_M_R,Wetland,0,0,0,3,0,0,85,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGV_M_R,Shrubland,0,0,0,0,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGV_M_R,Grassland,0,1,0,3,0,0,46,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGV_M_R,Cropland,0,0,0,0,0,0,9,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGV_M_R,Lichens_and_Mosses,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGV_M_R,Bareland,0,7,0,2,0,0,40,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGV_M_R,Built-up,0,5,0,5,0,0,61,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGV_M_R,Forest,0,28,0,16,0,0,247,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGV_M_R,Water,0,31,0,0,0,0,127,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGV_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGV_M_R,Grassland,15,1,6,3,10,0,0,12,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGV_M_R,Wetland,11,0,17,3,14,10,0,15,2,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGV_M_R,Bareland,6,7,0,2,24,11,0,24,2,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGV_M_R,Built-up,22,5,10,5,0,26,0,30,7,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGV_M_R,Water,48,31,49,0,48,47,0,51,5,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGV_M_R,Forest,0,28,69,16,73,102,0,74,38,18,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGV_M_R,Cropland,3,0,0,0,6,3,0,7,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGV_M_R,Permanent_ice_and_snow,2,0,0,0,1,0,0,1,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MGV_M_R,Forest,0,12,1,87,108,0,0,0,9,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MGV_M_R,Water,6,25,23,0,56,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MGV_M_R,Bareland,6,3,0,12,36,0,0,0,3,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MGV_M_R,Wetland,22,0,4,41,41,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MGV_M_R,Built-up,2,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MGV_M_R,Grassland,11,0,0,7,17,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MGV_M_R,Cropland,1,0,0,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MGV_M_R,Wetland,91,0,4,17,0,18,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MGV_M_R,Forest,0,0,0,0,0,14,0,0,12,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MGV_M_R,Bareland,31,0,0,4,0,3,0,0,4,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MGV_M_R,Built-up,46,0,5,3,0,3,0,0,5,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MGV_M_R,Water,85,8,20,0,0,1,0,0,2,0,11
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MGV_M_R,Grassland,17,5,3,2,0,0,0,0,9,0,3
