Dataset,MajorityClass,Grassland,Built-up,Forest,Wetland,Cropland,Water,Bareland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22MHV_M_R,Shrubland,145,48,99,36,10,3,14,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHV_M_R,Non_Wetland,9,1,9,8,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHV_M_R,Grassland,0,130,555,177,114,27,131,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHV_M_R,Bareland,437,94,213,5,46,62,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHV_M_R,Forest,1035,185,0,262,120,97,94,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHV_M_R,Cropland,529,123,397,17,0,2,90,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHV_M_R,Wetland,373,10,414,0,2,86,28,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHV_M_R,Built-up,347,0,296,9,44,24,115,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHV_M_R,Water,557,12,775,228,8,0,152,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHV_M_R,Non_Water,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHV_M_R,Non_Wetland,7,0,4,16,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHV_M_R,Shrubland,86,17,36,30,0,11,25,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHV_M_R,Grassland,0,105,276,214,0,88,145,153,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHV_M_R,Cropland,484,112,250,49,0,12,119,44,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHV_M_R,Wetland,388,4,125,0,0,260,8,77,0,0,0,0
