Dataset,MajorityClass,Grassland,Wetland,Bareland,Forest,Water,Built-up,Non_Wetland,Non_Water,Shrubland,Cropland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19NGD_M_R,Shrubland,3,3,2,2,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NGD_M_R,Grassland,0,4,2,4,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NGD_M_R,Wetland,54,0,5,31,27,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NGD_M_R,Bareland,14,5,0,8,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NGD_M_R,Built-up,7,3,7,5,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NGD_M_R,Water,64,42,10,46,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NGD_M_R,Forest,46,31,7,0,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NGD_M_R,Cropland,2,2,2,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NGD_M_R,Permanent_ice_and_snow,6,2,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGD_M_R,Shrubland,0,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGD_M_R,Grassland,0,3,0,0,1,0,11,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGD_M_R,Forest,0,24,0,0,13,0,42,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGD_M_R,Wetland,0,0,0,0,11,0,17,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGD_M_R,Built-up,0,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGD_M_R,Water,0,36,0,0,0,0,10,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGD_M_R,Cropland,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGD_M_R,Bareland,0,7,0,0,3,0,5,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGD_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NGD_M_R,Shrubland,0,0,0,0,3,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NGD_M_R,Grassland,0,0,0,0,9,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NGD_M_R,Wetland,0,0,0,0,47,0,0,20,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NGD_M_R,Bareland,0,0,0,0,6,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NGD_M_R,Water,0,0,0,0,0,0,0,44,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NGD_M_R,Forest,0,0,0,0,32,0,0,15,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NGD_M_R,Built-up,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGD_M_R,Water,27,36,0,19,0,0,0,0,15,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGD_M_R,Wetland,10,0,0,5,11,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGD_M_R,Bareland,9,7,0,4,3,3,0,0,18,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGD_M_R,Built-up,3,0,2,4,0,0,0,0,8,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGD_M_R,Forest,33,24,6,0,13,6,0,0,28,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGD_M_R,Grassland,0,3,0,3,1,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGD_M_R,Cropland,3,0,0,2,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGD_M_R,Permanent_ice_and_snow,2,0,2,1,0,0,0,0,4,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NGD_M_R,Grassland,0,6,0,5,5,5,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NGD_M_R,Water,0,28,9,19,0,13,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NGD_M_R,Forest,0,15,1,0,22,20,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NGD_M_R,Wetland,0,0,2,14,24,12,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NGD_M_R,Bareland,0,0,0,1,0,13,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NGD_M_R,Cropland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NGD_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NGD_M_R,Wetland,6,0,16,38,15,0,0,0,0,5,13
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NGD_M_R,Water,4,18,21,48,0,0,0,0,0,6,7
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NGD_M_R,Forest,4,2,6,0,3,0,0,0,0,1,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NGD_M_R,Grassland,0,1,5,9,2,0,0,0,0,4,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NGD_M_R,Built-up,0,0,2,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NGD_M_R,Bareland,0,0,0,0,0,0,0,0,0,0,1
