Dataset,MajorityClass,Forest,Built-up,Cropland,Wetland,Bareland,Water,Grassland,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22MDS_M_R,Grassland,133,10,12,11,15,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDS_M_R,Non_Wetland,6,0,0,2,0,1,5,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDS_M_R,Bareland,339,4,48,4,0,156,290,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDS_M_R,Forest,0,9,12,4,58,123,305,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDS_M_R,Shrubland,24,5,0,3,1,0,28,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDS_M_R,Cropland,13,1,0,0,1,0,13,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDS_M_R,Wetland,129,0,4,0,32,51,112,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDS_M_R,Water,382,0,14,5,135,0,172,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDS_M_R,Built-up,6,0,0,0,1,0,6,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDS_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDS_M_R,Non_Wetland,1,0,0,11,3,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDS_M_R,Shrubland,12,0,0,15,16,0,17,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDS_M_R,Grassland,61,4,0,87,130,3,0,15,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDS_M_R,Cropland,4,3,0,2,21,0,16,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDS_M_R,Bareland,30,0,0,42,0,12,19,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDS_M_R,Water,63,0,0,231,580,0,94,11,0,0,0
