Dataset,MajorityClass,Grassland,Bareland,Forest,Built-up,Water,Non_Water,Wetland,Shrubland,Cropland,Non_Wetland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19NBA_M_R,Shrubland,1,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NBA_M_R,Grassland,0,1,5,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NBA_M_R,Cropland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NBA_M_R,Wetland,10,0,5,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NBA_M_R,Built-up,4,4,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NBA_M_R,Water,26,2,25,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NBA_M_R,Forest,31,2,0,1,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NBA_M_R,Grassland,0,0,0,0,5,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NBA_M_R,Wetland,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NBA_M_R,Forest,0,0,0,0,24,12,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NBA_M_R,Water,0,0,0,0,0,29,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NBA_M_R,Grassland,0,2,6,3,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NBA_M_R,Forest,0,1,0,7,25,0,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NBA_M_R,Wetland,0,0,2,1,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NBA_M_R,Water,0,2,7,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NBA_M_R,Built-up,4,0,2,0,0,0,0,4,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NBA_M_R,Water,11,8,9,8,0,0,23,7,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NBA_M_R,Forest,18,6,0,7,4,0,21,18,5,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NBA_M_R,Grassland,0,0,4,1,0,0,1,4,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NBA_M_R,Bareland,1,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NBA_M_R,Water,0,0,0,0,0,0,23,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NBA_M_R,Forest,0,0,0,0,4,0,21,0,0,1,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NBA_M_R,Grassland,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NBA_M_R,Wetland,2,0,8,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NBA_M_R,Forest,3,0,0,0,2,0,0,0,2,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NBA_M_R,Water,1,2,34,0,0,0,0,0,1,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NBA_M_R,Grassland,0,0,5,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NBA_M_R,Built-up,0,0,1,0,0,0,0,0,0,0,0
